date,borough,complaint_group,request_volume
2022-01-06,Staten Island,Street Condition,44
2022-01-06,Staten Island,Traffic,35
2022-01-06,Staten Island,Water,72
2022-01-07,Bronx,Housing,805
2022-01-07,Bronx,Noise,202
2022-01-07,Bronx,Other,121
2022-01-07,Bronx,Public Safety,18
2022-01-07,Bronx,Sanitation,21
2022-01-07,Bronx,Street Condition,126
2022-01-07,Bronx,Traffic,172
2022-01-07,Bronx,Water,53
2022-01-07,Brooklyn,Housing,750
2022-01-07,Brooklyn,Noise,245
2022-01-07,Brooklyn,Other,388
2022-01-07,Brooklyn,Public Safety,49
2022-01-07,Brooklyn,Sanitation,67
2022-01-07,Brooklyn,Street Condition,132
2022-01-07,Brooklyn,Traffic,433
2022-01-07,Brooklyn,Water,75
2022-01-07,Manhattan,Housing,513
2022-01-07,Manhattan,Noise,293
2022-01-07,Manhattan,Other,237
2022-01-07,Manhattan,Public Safety,202
2022-01-07,Manhattan,Sanitation,35
2022-01-07,Manhattan,Street Condition,58
2022-01-07,Manhattan,Traffic,89
2022-01-07,Manhattan,Water,32
2022-01-07,Queens,Housing,353
2022-01-07,Queens,Noise,225
2022-01-07,Queens,Other,344
2022-01-07,Queens,Public Safety,22
2022-01-07,Queens,Sanitation,34
2022-01-07,Queens,Street Condition,85
2022-01-07,Queens,Traffic,398
2022-01-07,Queens,Water,61
2022-01-07,Staten Island,Housing,35
2022-01-07,Staten Island,Noise,14
2022-01-07,Staten Island,Other,86
2022-01-07,Staten Island,Public Safety,2
2022-01-07,Staten Island,Sanitation,14
2022-01-07,Staten Island,Street Condition,31
2022-01-07,Staten Island,Traffic,43
2022-01-07,Staten Island,Water,21
2022-01-08,Bronx,Housing,1020
2022-01-08,Bronx,Noise,294
2022-01-08,Bronx,Other,146
2022-01-08,Bronx,Public Safety,27
2022-01-08,Bronx,Sanitation,18
2022-01-08,Bronx,Street Condition,39
2022-01-08,Bronx,Traffic,220
2022-01-08,Bronx,Water,35
2022-01-08,Brooklyn,Housing,766
2022-01-08,Brooklyn,Noise,332
2022-01-08,Brooklyn,Other,445
2022-01-08,Brooklyn,Public Safety,43
2022-01-08,Brooklyn,Sanitation,43
2022-01-08,Brooklyn,Street Condition,63
2022-01-08,Brooklyn,Traffic,422
2022-01-08,Brooklyn,Water,40
2022-01-08,Manhattan,Housing,715
2022-01-08,Manhattan,Noise,470
2022-01-08,Manhattan,Other,233
2022-01-08,Manhattan,Public Safety,271
2022-01-08,Manhattan,Sanitation,42
2022-01-08,Manhattan,Street Condition,24
2022-01-08,Manhattan,Traffic,108
2022-01-08,Manhattan,Water,33
2022-01-08,Queens,Housing,422
2022-01-08,Queens,Noise,263
2022-01-08,Queens,Other,376
2022-01-08,Queens,Public Safety,24
2022-01-08,Queens,Sanitation,23
2022-01-08,Queens,Street Condition,83
2022-01-08,Queens,Traffic,420
2022-01-08,Queens,Water,54
2022-01-08,Staten Island,Housing,48
2022-01-08,Staten Island,Noise,17
2022-01-08,Staten Island,Other,80
2022-01-08,Staten Island,Public Safety,3
2022-01-08,Staten Island,Sanitation,23
2022-01-08,Staten Island,Street Condition,13
2022-01-08,Staten Island,Traffic,47
2022-01-08,Staten Island,Water,18
2022-01-09,Bronx,Housing,684
2022-01-09,Bronx,Noise,343
2022-01-09,Bronx,Other,101
2022-01-09,Bronx,Public Safety,10
2022-01-09,Bronx,Sanitation,23
2022-01-09,Bronx,Street Condition,12
2022-01-09,Bronx,Traffic,237
2022-01-09,Bronx,Water,26
2022-01-09,Brooklyn,Housing,597
2022-01-09,Brooklyn,Noise,367
2022-01-09,Brooklyn,Other,481
2022-01-09,Brooklyn,Public Safety,94
2022-01-09,Brooklyn,Sanitation,52
2022-01-09,Brooklyn,Street Condition,116
2022-01-09,Brooklyn,Traffic,466
2022-01-09,Brooklyn,Water,65
2022-01-09,Manhattan,Housing,446
2022-01-09,Manhattan,Noise,399
2022-01-09,Manhattan,Other,212
2022-01-09,Manhattan,Public Safety,244
2022-01-09,Manhattan,Sanitation,42
2022-01-09,Manhattan,Street Condition,32
2022-01-09,Manhattan,Traffic,88
2022-01-09,Manhattan,Water,29
2022-01-09,Queens,Housing,275
2022-01-09,Queens,Noise,346
2022-01-09,Queens,Other,381
2022-01-09,Queens,Public Safety,37
2022-01-09,Queens,Sanitation,31
2022-01-09,Queens,Street Condition,86
2022-01-09,Queens,Traffic,494
2022-01-09,Queens,Water,49
2022-01-09,Staten Island,Housing,32
2022-01-09,Staten Island,Noise,21
2022-01-09,Staten Island,Other,92
2022-01-09,Staten Island,Public Safety,5
2022-01-09,Staten Island,Sanitation,46
2022-01-09,Staten Island,Street Condition,16
2022-01-09,Staten Island,Traffic,33
2022-01-09,Staten Island,Water,13
2022-01-10,Bronx,Housing,1294
2022-01-10,Bronx,Noise,180
2022-01-10,Bronx,Other,175
2022-01-10,Bronx,Public Safety,31
2022-01-10,Bronx,Sanitation,64
2022-01-10,Bronx,Street Condition,136
2022-01-10,Bronx,Traffic,269
2022-01-10,Bronx,Water,68
2022-01-10,Brooklyn,Housing,1094
2022-01-10,Brooklyn,Noise,233
2022-01-10,Brooklyn,Other,528
2022-01-10,Brooklyn,Public Safety,90
2022-01-10,Brooklyn,Sanitation,93
2022-01-10,Brooklyn,Street Condition,233
2022-01-10,Brooklyn,Traffic,638
2022-01-10,Brooklyn,Water,119
2022-01-10,Manhattan,Housing,816
2022-01-10,Manhattan,Noise,265
2022-01-10,Manhattan,Other,256
2022-01-10,Manhattan,Public Safety,188
2022-01-10,Manhattan,Sanitation,69
2022-01-10,Manhattan,Street Condition,106
2022-01-10,Manhattan,Traffic,173
2022-01-10,Manhattan,Water,47
2022-01-10,Queens,Housing,400
2022-01-10,Queens,Noise,197
2022-01-10,Queens,Other,418
2022-01-10,Queens,Public Safety,37
2022-01-10,Queens,Sanitation,56
2022-01-10,Queens,Street Condition,275
2022-01-10,Queens,Traffic,484
2022-01-10,Queens,Water,71
2022-01-10,Staten Island,Housing,61
2022-01-10,Staten Island,Noise,16
2022-01-10,Staten Island,Other,107
2022-01-10,Staten Island,Public Safety,3
2022-01-10,Staten Island,Sanitation,52
2022-01-10,Staten Island,Street Condition,60
2022-01-10,Staten Island,Traffic,39
2022-01-10,Staten Island,Water,37
2022-01-11,Bronx,Housing,2111
2022-01-11,Bronx,Noise,168
2022-01-11,Bronx,Other,163
2022-01-11,Bronx,Public Safety,34
2022-01-11,Bronx,Sanitation,42
2022-01-11,Bronx,Street Condition,93
2022-01-11,Bronx,Traffic,289
2022-01-11,Bronx,Water,94
2022-01-11,Brooklyn,Housing,1623
2022-01-11,Brooklyn,Noise,238
2022-01-11,Brooklyn,Other,545
2022-01-11,Brooklyn,Public Safety,102
2022-01-11,Brooklyn,Sanitation,91
2022-01-11,Brooklyn,Street Condition,232
2022-01-11,Brooklyn,Traffic,581
2022-01-11,Brooklyn,Water,119
2022-01-11,Manhattan,Housing,1413
2022-01-11,Manhattan,Noise,285
2022-01-11,Manhattan,Other,302
2022-01-11,Manhattan,Public Safety,228
2022-01-11,Manhattan,Sanitation,54
2022-01-11,Manhattan,Street Condition,103
2022-01-11,Manhattan,Traffic,168
2022-01-11,Manhattan,Water,60
2022-01-11,Queens,Housing,790
2022-01-11,Queens,Noise,228
2022-01-11,Queens,Other,440
2022-01-11,Queens,Public Safety,48
2022-01-11,Queens,Sanitation,56
2022-01-11,Queens,Street Condition,229
2022-01-11,Queens,Traffic,481
2022-01-11,Queens,Water,80
2022-01-11,Staten Island,Housing,64
2022-01-11,Staten Island,Noise,16
2022-01-11,Staten Island,Other,116
2022-01-11,Staten Island,Public Safety,4
2022-01-11,Staten Island,Sanitation,46
2022-01-11,Staten Island,Street Condition,70
2022-01-11,Staten Island,Traffic,50
2022-01-11,Staten Island,Water,32
2022-01-12,Bronx,Housing,1534
2022-01-12,Bronx,Noise,178
2022-01-12,Bronx,Other,176
2022-01-12,Bronx,Public Safety,32
2022-01-12,Bronx,Sanitation,44
2022-01-12,Bronx,Street Condition,111
2022-01-12,Bronx,Traffic,282
2022-01-12,Bronx,Water,90
2022-01-12,Brooklyn,Housing,1190
2022-01-12,Brooklyn,Noise,272
2022-01-12,Brooklyn,Other,517
2022-01-12,Brooklyn,Public Safety,93
2022-01-12,Brooklyn,Sanitation,163
2022-01-12,Brooklyn,Street Condition,198
2022-01-12,Brooklyn,Traffic,669
2022-01-12,Brooklyn,Water,163
2022-01-12,Manhattan,Housing,953
2022-01-12,Manhattan,Noise,349
2022-01-12,Manhattan,Other,317
2022-01-12,Manhattan,Public Safety,189
2022-01-12,Manhattan,Sanitation,71
2022-01-12,Manhattan,Street Condition,91
2022-01-12,Manhattan,Traffic,197
2022-01-12,Manhattan,Water,77
2022-01-12,Queens,Housing,520
2022-01-12,Queens,Noise,238
2022-01-12,Queens,Other,400
2022-01-12,Queens,Public Safety,35
2022-01-12,Queens,Sanitation,53
2022-01-12,Queens,Street Condition,171
2022-01-12,Queens,Traffic,536
2022-01-12,Queens,Water,107
2022-01-12,Staten Island,Housing,58
2022-01-12,Staten Island,Noise,17
2022-01-12,Staten Island,Other,106
2022-01-12,Staten Island,Public Safety,4
2022-01-12,Staten Island,Sanitation,44
2022-01-12,Staten Island,Street Condition,71
2022-01-12,Staten Island,Traffic,38
2022-01-12,Staten Island,Water,41
2022-01-13,Bronx,Housing,855
2022-01-13,Bronx,Noise,231
2022-01-13,Bronx,Other,151
2022-01-13,Bronx,Public Safety,23
2022-01-13,Bronx,Sanitation,58
2022-01-13,Bronx,Street Condition,149
2022-01-13,Bronx,Traffic,340
2022-01-13,Bronx,Water,69
2022-01-13,Brooklyn,Housing,693
2022-01-13,Brooklyn,Noise,282
2022-01-13,Brooklyn,Other,534
2022-01-13,Brooklyn,Public Safety,106
2022-01-13,Brooklyn,Sanitation,183
2022-01-13,Brooklyn,Street Condition,162
2022-01-13,Brooklyn,Traffic,714
2022-01-13,Brooklyn,Water,289
2022-01-13,Manhattan,Housing,574
2022-01-13,Manhattan,Noise,383
2022-01-13,Manhattan,Other,297
2022-01-13,Manhattan,Public Safety,165
2022-01-13,Manhattan,Sanitation,77
2022-01-13,Manhattan,Street Condition,82
2022-01-13,Manhattan,Traffic,206
2022-01-13,Manhattan,Water,41
2022-01-13,Queens,Housing,355
2022-01-13,Queens,Noise,279
2022-01-13,Queens,Other,394
2022-01-13,Queens,Public Safety,42
2022-01-13,Queens,Sanitation,102
2022-01-13,Queens,Street Condition,188
2022-01-13,Queens,Traffic,557
2022-01-13,Queens,Water,107
2022-01-13,Staten Island,Housing,59
2022-01-13,Staten Island,Noise,31
2022-01-13,Staten Island,Other,94
2022-01-13,Staten Island,Public Safety,6
2022-01-13,Staten Island,Sanitation,64
2022-01-13,Staten Island,Street Condition,56
2022-01-13,Staten Island,Traffic,57
2022-01-13,Staten Island,Water,32
2022-01-14,Bronx,Housing,836
2022-01-14,Bronx,Noise,351
2022-01-14,Bronx,Other,154
2022-01-14,Bronx,Public Safety,30
2022-01-14,Bronx,Sanitation,50
2022-01-14,Bronx,Street Condition,91
2022-01-14,Bronx,Traffic,278
2022-01-14,Bronx,Water,78
2022-01-14,Brooklyn,Housing,778
2022-01-14,Brooklyn,Noise,276
2022-01-14,Brooklyn,Other,480
2022-01-14,Brooklyn,Public Safety,68
2022-01-14,Brooklyn,Sanitation,174
2022-01-14,Brooklyn,Street Condition,178
2022-01-14,Brooklyn,Traffic,640
2022-01-14,Brooklyn,Water,199
2022-01-14,Manhattan,Housing,557
2022-01-14,Manhattan,Noise,382
2022-01-14,Manhattan,Other,287
2022-01-14,Manhattan,Public Safety,290
2022-01-14,Manhattan,Sanitation,59
2022-01-14,Manhattan,Street Condition,94
2022-01-14,Manhattan,Traffic,204
2022-01-14,Manhattan,Water,48
2022-01-14,Queens,Housing,367
2022-01-14,Queens,Noise,231
2022-01-14,Queens,Other,385
2022-01-14,Queens,Public Safety,31
2022-01-14,Queens,Sanitation,117
2022-01-14,Queens,Street Condition,134
2022-01-14,Queens,Traffic,529
2022-01-14,Queens,Water,80
2022-01-14,Staten Island,Housing,50
2022-01-14,Staten Island,Noise,24
2022-01-14,Staten Island,Other,110
2022-01-14,Staten Island,Public Safety,1
2022-01-14,Staten Island,Sanitation,93
2022-01-14,Staten Island,Street Condition,64
2022-01-14,Staten Island,Traffic,46
2022-01-14,Staten Island,Water,31
2022-01-15,Bronx,Housing,1663
2022-01-15,Bronx,Noise,332
2022-01-15,Bronx,Other,101
2022-01-15,Bronx,Public Safety,29
2022-01-15,Bronx,Sanitation,37
2022-01-15,Bronx,Street Condition,34
2022-01-15,Bronx,Traffic,249
2022-01-15,Bronx,Water,59
2022-01-15,Brooklyn,Housing,1224
2022-01-15,Brooklyn,Noise,361
2022-01-15,Brooklyn,Other,365
2022-01-15,Brooklyn,Public Safety,57
2022-01-15,Brooklyn,Sanitation,87
2022-01-15,Brooklyn,Street Condition,66
2022-01-15,Brooklyn,Traffic,475
2022-01-15,Brooklyn,Water,141
2022-01-15,Manhattan,Housing,889
2022-01-15,Manhattan,Noise,503
2022-01-15,Manhattan,Other,196
2022-01-15,Manhattan,Public Safety,184
2022-01-15,Manhattan,Sanitation,51
2022-01-15,Manhattan,Street Condition,31
2022-01-15,Manhattan,Traffic,131
2022-01-15,Manhattan,Water,33
2022-01-15,Queens,Housing,634
2022-01-15,Queens,Noise,288
2022-01-15,Queens,Other,271
2022-01-15,Queens,Public Safety,34
2022-01-15,Queens,Sanitation,65
2022-01-15,Queens,Street Condition,100
2022-01-15,Queens,Traffic,494
2022-01-15,Queens,Water,88
2022-01-15,Staten Island,Housing,53
2022-01-15,Staten Island,Noise,33
2022-01-15,Staten Island,Other,72
2022-01-15,Staten Island,Public Safety,5
2022-01-15,Staten Island,Sanitation,55
2022-01-15,Staten Island,Street Condition,25
2022-01-15,Staten Island,Traffic,41
2022-01-15,Staten Island,Water,14
2022-01-16,Bronx,Housing,1559
2022-01-16,Bronx,Noise,326
2022-01-16,Bronx,Other,76
2022-01-16,Bronx,Public Safety,9
2022-01-16,Bronx,Sanitation,21
2022-01-16,Bronx,Street Condition,31
2022-01-16,Bronx,Traffic,265
2022-01-16,Bronx,Water,82
2022-01-16,Brooklyn,Housing,1209
2022-01-16,Brooklyn,Noise,318
2022-01-16,Brooklyn,Other,354
2022-01-16,Brooklyn,Public Safety,47
2022-01-16,Brooklyn,Sanitation,113
2022-01-16,Brooklyn,Street Condition,81
2022-01-16,Brooklyn,Traffic,424
2022-01-16,Brooklyn,Water,113
2022-01-16,Manhattan,Housing,1131
2022-01-16,Manhattan,Noise,352
2022-01-16,Manhattan,Other,223
2022-01-16,Manhattan,Public Safety,136
2022-01-16,Manhattan,Sanitation,109
2022-01-16,Manhattan,Street Condition,38
2022-01-16,Manhattan,Traffic,106
2022-01-16,Manhattan,Water,30
2022-01-16,Queens,Housing,644
2022-01-16,Queens,Noise,298
2022-01-16,Queens,Other,306
2022-01-16,Queens,Public Safety,34
2022-01-16,Queens,Sanitation,85
2022-01-16,Queens,Street Condition,72
2022-01-16,Queens,Traffic,419
2022-01-16,Queens,Water,136
2022-01-16,Staten Island,Housing,70
2022-01-16,Staten Island,Noise,28
2022-01-16,Staten Island,Other,108
2022-01-16,Staten Island,Public Safety,4
2022-01-16,Staten Island,Sanitation,55
2022-01-16,Staten Island,Street Condition,39
2022-01-16,Staten Island,Traffic,37
2022-01-16,Staten Island,Water,34
2022-01-17,Bronx,Housing,1053
2022-01-17,Bronx,Noise,245
2022-01-17,Bronx,Other,147
2022-01-17,Bronx,Public Safety,22
2022-01-17,Bronx,Sanitation,25
2022-01-17,Bronx,Street Condition,93
2022-01-17,Bronx,Traffic,251
2022-01-17,Bronx,Water,130
2022-01-17,Brooklyn,Housing,893
2022-01-17,Brooklyn,Noise,246
2022-01-17,Brooklyn,Other,631
2022-01-17,Brooklyn,Public Safety,44
2022-01-17,Brooklyn,Sanitation,150
2022-01-17,Brooklyn,Street Condition,300
2022-01-17,Brooklyn,Traffic,486
2022-01-17,Brooklyn,Water,198
2022-01-17,Manhattan,Housing,635
2022-01-17,Manhattan,Noise,310
2022-01-17,Manhattan,Other,251
2022-01-17,Manhattan,Public Safety,244
2022-01-17,Manhattan,Sanitation,74
2022-01-17,Manhattan,Street Condition,81
2022-01-17,Manhattan,Traffic,136
2022-01-17,Manhattan,Water,93
2022-01-17,Queens,Housing,439
2022-01-17,Queens,Noise,247
2022-01-17,Queens,Other,519
2022-01-17,Queens,Public Safety,41
2022-01-17,Queens,Sanitation,63
2022-01-17,Queens,Street Condition,195
2022-01-17,Queens,Traffic,509
2022-01-17,Queens,Water,146
2022-01-17,Staten Island,Housing,46
2022-01-17,Staten Island,Noise,16
2022-01-17,Staten Island,Other,181
2022-01-17,Staten Island,Public Safety,8
2022-01-17,Staten Island,Sanitation,47
2022-01-17,Staten Island,Street Condition,45
2022-01-17,Staten Island,Traffic,36
2022-01-17,Staten Island,Water,58
2022-01-18,Bronx,Housing,1187
2022-01-18,Bronx,Noise,200
2022-01-18,Bronx,Other,182
2022-01-18,Bronx,Public Safety,37
2022-01-18,Bronx,Sanitation,48
2022-01-18,Bronx,Street Condition,140
2022-01-18,Bronx,Traffic,312
2022-01-18,Bronx,Water,120
2022-01-18,Brooklyn,Housing,932
2022-01-18,Brooklyn,Noise,244
2022-01-18,Brooklyn,Other,563
2022-01-18,Brooklyn,Public Safety,76
2022-01-18,Brooklyn,Sanitation,125
2022-01-18,Brooklyn,Street Condition,211
2022-01-18,Brooklyn,Traffic,585
2022-01-18,Brooklyn,Water,166
2022-01-18,Manhattan,Housing,747
2022-01-18,Manhattan,Noise,383
2022-01-18,Manhattan,Other,333
2022-01-18,Manhattan,Public Safety,173
2022-01-18,Manhattan,Sanitation,62
2022-01-18,Manhattan,Street Condition,110
2022-01-18,Manhattan,Traffic,208
2022-01-18,Manhattan,Water,53
2022-01-18,Queens,Housing,460
2022-01-18,Queens,Noise,217
2022-01-18,Queens,Other,559
2022-01-18,Queens,Public Safety,50
2022-01-18,Queens,Sanitation,73
2022-01-18,Queens,Street Condition,249
2022-01-18,Queens,Traffic,524
2022-01-18,Queens,Water,123
2022-01-18,Staten Island,Housing,51
2022-01-18,Staten Island,Noise,30
2022-01-18,Staten Island,Other,188
2022-01-18,Staten Island,Public Safety,9
2022-01-18,Staten Island,Sanitation,48
2022-01-18,Staten Island,Street Condition,100
