city,regime,kappa,units,tie_share_steps,mean_tied_families,fixed_index_gap_pct,full_dist_gap_pct,full_conformal_gap_pct,prop_tb_vs_direct_prop_pct,uniform_worst,fixed_below_identified,ranking
austin,moderate,25,21,1.0,4.831,-3.143,-0.352,-0.274,0.014,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
austin,generous,25,26,1.0,4.291,-7.242,-0.62,-0.471,0.053,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
austin,scarce,50,8,1.0,5.009,-1.158,-0.166,-0.091,0.007,True,True,point_greedy/proportional_unmet < proportional < point_greedy/random_min < quantile_full_conformal < point_greedy/random_mean < quantile_full < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
austin,moderate,50,11,0.999,4.333,-2.045,-0.262,-0.147,0.031,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
austin,generous,50,13,0.9983,3.97,-3.613,-0.269,-0.087,0.189,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
austin,scarce,100,8,0.9348,3.349,-7.703,1.944,1.952,2.658,True,True,point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < proportional < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
austin,moderate,100,8,0.9348,3.349,-7.703,1.944,1.952,2.658,True,True,point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < proportional < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
austin,generous,100,8,0.9348,3.349,-7.703,1.944,1.952,2.658,True,True,point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < proportional < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,scarce,1,1462,1.0,4.184,-5.382,-0.456,-0.204,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,moderate,1,1879,1.0,3.758,-12.171,-1.083,-0.576,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,generous,1,2297,0.9479,3.537,-47.308,-4.256,-2.693,-0.008,True,True,proportional < point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,scarce,5,292,1.0,4.175,-4.979,-0.382,-0.184,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,moderate,5,376,1.0,3.746,-11.453,-0.956,-0.534,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,generous,5,459,0.9478,3.53,-44.299,-3.835,-2.519,0.002,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,scarce,10,146,1.0,4.158,-4.578,-0.335,-0.16,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,moderate,10,188,1.0,3.731,-10.706,-0.857,-0.487,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,generous,10,230,0.9473,3.529,-41.661,-3.626,-2.422,-0.012,True,True,proportional < point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,scarce,25,58,1.0,4.106,-3.55,-0.171,-0.119,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,moderate,25,75,1.0,3.684,-8.683,-0.563,-0.419,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,generous,25,92,0.9453,3.505,-34.691,-2.676,-2.152,-0.012,True,True,proportional < point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,scarce,50,29,1.0,4.045,-2.527,-0.123,-0.056,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,moderate,50,38,1.0,3.61,-7.196,-0.611,-0.371,0.025,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,generous,50,46,0.9382,3.48,-26.955,-2.023,-1.743,0.065,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,scarce,100,15,1.0,3.927,-1.882,-0.036,-0.026,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,moderate,100,19,1.0,3.537,-5.161,-0.362,-0.194,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
chicago,generous,100,23,0.9165,3.429,-19.056,-1.281,-1.018,-0.003,True,True,proportional < point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,scarce,1,5961,1.0,6.939,-6.819,-0.829,-0.658,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,moderate,1,7665,1.0,6.085,-15.794,-1.865,-1.45,-0.035,True,True,proportional < point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,generous,1,9368,0.9971,5.381,-72.206,-9.041,-7.146,-0.017,True,True,proportional < point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,scarce,5,1192,1.0,6.938,-6.722,-0.808,-0.644,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,moderate,5,1533,1.0,6.083,-15.544,-1.816,-1.42,-0.034,True,True,proportional < point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,generous,5,1874,0.9971,5.379,-71.283,-8.843,-7.014,-0.002,True,True,proportional < point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,scarce,10,596,1.0,6.936,-6.615,-0.785,-0.627,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,moderate,10,766,1.0,6.083,-15.204,-1.755,-1.375,-0.034,True,True,proportional < point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,generous,10,937,0.997,5.376,-69.854,-8.59,-6.832,-0.008,True,True,proportional < point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,scarce,25,238,1.0,6.935,-6.226,-0.723,-0.584,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,moderate,25,307,1.0,6.067,-14.351,-1.62,-1.305,-0.04,True,True,proportional < point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,generous,25,375,0.9968,5.367,-66.479,-7.912,-6.412,0.008,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,scarce,50,119,1.0,6.927,-5.761,-0.626,-0.54,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,moderate,50,153,1.0,6.066,-12.995,-1.368,-1.164,-0.031,True,True,proportional < point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,generous,50,187,0.9965,5.355,-58.303,-6.472,-5.533,0.007,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,scarce,100,60,1.0,6.889,-5.071,-0.523,-0.471,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,moderate,100,77,1.0,6.001,-11.432,-1.176,-1.039,-0.026,True,True,proportional < point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
nyc,generous,100,94,0.9928,5.29,-54.609,-5.914,-5.185,0.235,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
sf,scarce,1,1289,1.0,2.947,-5.529,-0.855,-0.712,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
sf,moderate,1,1657,1.0,2.737,-10.369,-1.568,-1.299,0.036,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/fixed_index < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
sf,generous,1,2026,0.9968,2.656,-18.651,-0.869,-0.458,-0.153,True,True,proportional < point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/fixed_index < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
sf,scarce,5,258,1.0,2.927,-4.984,-0.787,-0.674,0.001,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
sf,moderate,5,331,1.0,2.723,-9.296,-1.44,-1.229,0.029,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/fixed_index < point_greedy/random_max < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
sf,generous,5,405,0.9958,2.644,-16.383,-0.681,-0.391,-0.17,True,True,proportional < point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/fixed_index < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
sf,scarce,10,129,1.0,2.918,-4.445,-0.712,-0.645,0.003,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
sf,moderate,10,166,1.0,2.713,-8.393,-1.319,-1.193,0.029,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/fixed_index < point_greedy/random_max < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
sf,generous,10,203,0.9944,2.638,-14.035,-0.519,-0.358,-0.15,True,True,proportional < point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/fixed_index < point_greedy/random_max < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
sf,scarce,25,52,1.0,2.888,-3.596,-0.618,-0.587,0.007,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
sf,moderate,25,66,1.0,2.7,-6.488,-1.072,-1.015,0.066,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
sf,generous,25,81,0.975,2.656,-10.563,-0.095,0.086,-0.011,True,True,quantile_full_conformal < proportional < point_greedy/proportional_unmet < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
sf,scarce,50,26,0.998,2.831,-2.586,-0.517,-0.508,0.023,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
sf,moderate,50,33,0.9977,2.655,-4.672,-0.91,-0.893,0.073,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < point_greedy/fixed_index < median_arm/fixed_index < implied_mean_arm/fixed_index < uniform
sf,generous,50,41,0.9208,2.61,-6.153,0.799,0.865,0.79,True,True,quantile_full_conformal < quantile_full < point_greedy/proportional_unmet < proportional < point_greedy/random_min < point_greedy/fixed_index < point_greedy/random_mean < implied_mean_arm/fixed_index < median_arm/fixed_index < point_greedy/random_max < uniform
sf,scarce,100,13,0.9947,2.773,-1.811,-0.467,-0.444,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < implied_mean_arm/fixed_index < point_greedy/fixed_index < uniform
sf,moderate,100,17,0.9934,2.592,-3.534,-0.789,-0.741,0.172,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < median_arm/fixed_index < implied_mean_arm/fixed_index < point_greedy/fixed_index < point_greedy/random_max < uniform
sf,generous,100,20,0.8858,2.502,-2.281,2.266,2.296,1.958,True,True,quantile_full_conformal < quantile_full < point_greedy/proportional_unmet < proportional < median_arm/fixed_index < point_greedy/random_min < implied_mean_arm/fixed_index < point_greedy/random_mean < point_greedy/fixed_index < point_greedy/random_max < uniform
