city,feature_set,model,fold,mae,n_rows
chicago,calendar_weather,ridge,4,63.83426539777819,1813
chicago,calendar_weather,random_forest,4,49.021607164841924,1813
chicago,calendar_weather,lgbm_point,4,47.04868729401824,1813
nyc,internal,naive_trailing7,0,231.40478488692776,2072
nyc,internal,seasonal_naive7,0,223.92519305019306,2072
nyc,internal,ridge,0,176.8221914495301,2072
nyc,internal,random_forest,0,178.82107104196155,2072
nyc,internal,lgbm_point,0,184.6369276070859,2072
nyc,internal,naive_trailing7,1,283.43036403750693,2072
nyc,internal,seasonal_naive7,1,255.2273166023166,2072
nyc,internal,ridge,1,197.07976689923663,2072
nyc,internal,random_forest,1,198.773856705392,2072
nyc,internal,lgbm_point,1,191.13856119067952,2072
nyc,internal,naive_trailing7,2,275.37741312741315,2072
nyc,internal,seasonal_naive7,2,235.31756756756758,2072
nyc,internal,ridge,2,182.54069243649485,2072
nyc,internal,random_forest,2,177.5997824432513,2072
nyc,internal,lgbm_point,2,172.5969838825538,2072
nyc,internal,naive_trailing7,3,225.02433811362383,2072
nyc,internal,seasonal_naive7,3,191.44353281853282,2072
nyc,internal,ridge,3,154.91930332561347,2072
nyc,internal,random_forest,3,144.4084775965842,2072
nyc,internal,lgbm_point,3,142.33233222131497,2072
nyc,internal,naive_trailing7,4,246.33914782129068,2072
nyc,internal,seasonal_naive7,4,232.48793436293437,2072
nyc,internal,ridge,4,173.96270388070315,2072
nyc,internal,random_forest,4,171.2848173563778,2072
nyc,internal,lgbm_point,4,167.77726243040135,2072
nyc,calendar,naive_trailing7,0,231.40478488692776,2072
nyc,calendar,seasonal_naive7,0,223.92519305019306,2072
nyc,calendar,ridge,0,182.43027318235772,2072
nyc,calendar,random_forest,0,174.2206446598059,2072
nyc,calendar,lgbm_point,0,174.48594221948468,2072
nyc,calendar,naive_trailing7,1,283.43036403750693,2072
nyc,calendar,seasonal_naive7,1,255.2273166023166,2072
nyc,calendar,ridge,1,195.88841939300937,2072
nyc,calendar,random_forest,1,190.15097451992978,2072
nyc,calendar,lgbm_point,1,179.13750133458,2072
nyc,calendar,naive_trailing7,2,275.37741312741315,2072
nyc,calendar,seasonal_naive7,2,235.31756756756758,2072
nyc,calendar,ridge,2,183.38101431497776,2072
nyc,calendar,random_forest,2,164.5806278569907,2072
nyc,calendar,lgbm_point,2,153.37192761211904,2072
nyc,calendar,naive_trailing7,3,225.02433811362383,2072
nyc,calendar,seasonal_naive7,3,191.44353281853282,2072
nyc,calendar,ridge,3,154.79148774618164,2072
nyc,calendar,random_forest,3,136.30496896141878,2072
nyc,calendar,lgbm_point,3,126.40377642196817,2072
nyc,calendar,naive_trailing7,4,246.33914782129068,2072
nyc,calendar,seasonal_naive7,4,232.48793436293437,2072
nyc,calendar,ridge,4,172.19089039531198,2072
nyc,calendar,random_forest,4,163.61536029465995,2072
nyc,calendar,lgbm_point,4,144.88135695101388,2072
nyc,calendar_weather,naive_trailing7,0,231.40478488692776,2072
nyc,calendar_weather,seasonal_naive7,0,223.92519305019306,2072
nyc,calendar_weather,ridge,0,182.07268920703225,2072
nyc,calendar_weather,random_forest,0,171.95629864012662,2072
nyc,calendar_weather,lgbm_point,0,158.34691224514575,2072
nyc,calendar_weather,naive_trailing7,1,283.43036403750693,2072
nyc,calendar_weather,seasonal_naive7,1,255.2273166023166,2072
nyc,calendar_weather,ridge,1,198.20936273903507,2072
nyc,calendar_weather,random_forest,1,187.88830583092374,2072
nyc,calendar_weather,lgbm_point,1,168.42780864948622,2072
nyc,calendar_weather,naive_trailing7,2,275.37741312741315,2072
nyc,calendar_weather,seasonal_naive7,2,235.31756756756758,2072
nyc,calendar_weather,ridge,2,183.87262443527868,2072
nyc,calendar_weather,random_forest,2,162.27807326201426,2072
nyc,calendar_weather,lgbm_point,2,150.1760739612936,2072
nyc,calendar_weather,naive_trailing7,3,225.02433811362383,2072
nyc,calendar_weather,seasonal_naive7,3,191.44353281853282,2072
nyc,calendar_weather,ridge,3,154.49131643100534,2072
nyc,calendar_weather,random_forest,3,134.91959756452826,2072
nyc,calendar_weather,lgbm_point,3,120.61009331380752,2072
nyc,calendar_weather,naive_trailing7,4,246.33914782129068,2072
nyc,calendar_weather,seasonal_naive7,4,232.48793436293437,2072
nyc,calendar_weather,ridge,4,172.17095836777523,2072
nyc,calendar_weather,random_forest,4,158.91065788281313,2072
nyc,calendar_weather,lgbm_point,4,133.2340440833782,2072
sf,internal,naive_trailing7,0,33.41459025470654,2064
sf,internal,seasonal_naive7,0,36.69912790697674,2064
sf,internal,ridge,0,30.488258788687247,2064
sf,internal,random_forest,0,29.854890068548443,2064
sf,internal,lgbm_point,0,31.812512061928214,2064
sf,internal,naive_trailing7,1,38.25200719822813,2064
sf,internal,seasonal_naive7,1,42.236434108527135,2064
sf,internal,ridge,1,32.65104653290995,2064
sf,internal,random_forest,1,33.11437048491724,2064
sf,internal,lgbm_point,1,32.95867292868751,2064
sf,internal,naive_trailing7,2,37.92760243632336,2064
sf,internal,seasonal_naive7,2,34.80862403100775,2064
sf,internal,ridge,2,28.51091077917104,2064
sf,internal,random_forest,2,28.425450656792925,2064
sf,internal,lgbm_point,2,28.956241074147293,2064
sf,internal,naive_trailing7,3,44.671857696567,2064
sf,internal,seasonal_naive7,3,45.36918604651163,2064
sf,internal,ridge,3,36.48494399675947,2064
sf,internal,random_forest,3,42.08716715552404,2064
sf,internal,lgbm_point,3,43.267253059830786,2064
sf,internal,naive_trailing7,4,42.605135658914726,2064
sf,internal,seasonal_naive7,4,38.34738372093023,2064
sf,internal,ridge,4,31.793136698262273,2064
sf,internal,random_forest,4,32.70709822998301,2064
sf,internal,lgbm_point,4,33.40695673740943,2064
sf,calendar,naive_trailing7,0,33.41459025470654,2064
sf,calendar,seasonal_naive7,0,36.69912790697674,2064
sf,calendar,ridge,0,33.593510139083975,2064
sf,calendar,random_forest,0,29.20998744754438,2064
sf,calendar,lgbm_point,0,29.964323497081594,2064
sf,calendar,naive_trailing7,1,38.25200719822813,2064
sf,calendar,seasonal_naive7,1,42.236434108527135,2064
sf,calendar,ridge,1,33.80189551869739,2064
sf,calendar,random_forest,1,31.510599126029724,2064
sf,calendar,lgbm_point,1,30.60216311236343,2064
sf,calendar,naive_trailing7,2,37.92760243632336,2064
sf,calendar,seasonal_naive7,2,34.80862403100775,2064
sf,calendar,ridge,2,29.78948940235609,2064
sf,calendar,random_forest,2,26.57330836636155,2064
sf,calendar,lgbm_point,2,26.425847098773747,2064
sf,calendar,naive_trailing7,3,44.671857696567,2064
sf,calendar,seasonal_naive7,3,45.36918604651163,2064
sf,calendar,ridge,3,37.77107687813584,2064
sf,calendar,random_forest,3,41.64814496523514,2064
sf,calendar,lgbm_point,3,42.37448764170274,2064
sf,calendar,naive_trailing7,4,42.605135658914726,2064
sf,calendar,seasonal_naive7,4,38.34738372093023,2064
sf,calendar,ridge,4,32.92381628760991,2064
sf,calendar,random_forest,4,31.572054347275298,2064
sf,calendar,lgbm_point,4,30.526192407195392,2064
sf,calendar_weather,naive_trailing7,0,33.41459025470654,2064
sf,calendar_weather,seasonal_naive7,0,36.69912790697674,2064
sf,calendar_weather,ridge,0,33.809932036149874,2064
