mae,rmse,mape_floored,n_rows,n_days,scope,city,feature_set,model,split,fit_seconds,source_censor_date
49.29528928315054,121.14710740138669,26.57689527319848,1932,276,local,chicago,calendar_weather,lgbm_point,test,2.42,
245.53357142857143,461.6407075490844,27.237728728147943,2200,275,local,nyc,calendar_weather,naive_trailing7,val,0.0,
305.6182712215321,571.3918531972411,27.37934710999777,2208,276,local,nyc,calendar_weather,naive_trailing7,test,0.01,
226.67181818181817,494.43669417373803,26.362787181501464,2200,275,local,nyc,calendar_weather,seasonal_naive7,val,0.0,
282.4388586956522,644.0911805190813,25.246462590260744,2208,276,local,nyc,calendar_weather,seasonal_naive7,test,0.01,
170.6124522206375,368.523061137976,20.06483742599286,2200,275,local,nyc,calendar_weather,ridge,val,0.02,
213.11324391632414,426.17076497914,19.757089171837148,2208,276,local,nyc,calendar_weather,ridge,test,0.03,
156.80265648861166,349.65806381215776,17.292886391517506,2200,275,local,nyc,calendar_weather,random_forest,val,9.2,
190.62942567360818,411.9228029360377,16.63636014583258,2208,276,local,nyc,calendar_weather,random_forest,test,9.21,
131.66011312412613,316.1448046767124,13.881697787800235,2200,275,local,nyc,calendar_weather,lgbm_point,val,2.48,
165.41681425948468,392.3307767198081,13.635562126990324,2208,276,local,nyc,calendar_weather,lgbm_point,test,2.48,
42.45555265901981,92.11746887749817,34.97082200834225,2192,274,local,sf,calendar_weather,naive_trailing7,val,0.0,
44.76902597402597,97.8083661259611,75.40324061281484,2200,275,local,sf,calendar_weather,naive_trailing7,test,0.01,
37.60492700729927,87.9001590226342,34.06746419808784,2192,274,local,sf,calendar_weather,seasonal_naive7,val,0.0,
43.78636363636364,108.41276342168976,91.2024374709818,2200,275,local,sf,calendar_weather,seasonal_naive7,test,0.01,
32.75676550893915,71.50070196063292,103.22073089676367,2192,274,local,sf,calendar_weather,ridge,val,0.02,
36.6906261943119,82.84310413826246,158.4798698746763,2200,275,local,sf,calendar_weather,ridge,test,0.02,
31.338701496752456,72.08886439437151,29.577887153789035,2192,274,local,sf,calendar_weather,random_forest,val,8.11,
31.561649648017575,78.64123524424028,68.25840594474649,2200,275,local,sf,calendar_weather,random_forest,test,8.11,
28.972959400038853,68.63745285116397,23.925631176255386,2192,274,local,sf,calendar_weather,lgbm_point,val,3.01,
30.061140668311936,73.15862531292821,65.228226513955,2200,275,local,sf,calendar_weather,lgbm_point,test,3.02,
30.280649350649348,49.978467719824316,52.458263892808624,2200,275,local,austin,calendar_weather_lagged_only,naive_trailing7,val,0.0,
30.371376811594203,50.156071302136,48.159494852497794,2208,276,local,austin,calendar_weather_lagged_only,naive_trailing7,test,0.01,
20.517272727272726,39.2618019315096,40.014678512769706,2200,275,local,austin,calendar_weather_lagged_only,seasonal_naive7,val,0.0,
21.61322463768116,42.77520656994481,38.985340929136555,2208,276,local,austin,calendar_weather_lagged_only,seasonal_naive7,test,0.01,
25.23124882394745,42.574113260537644,51.334894608196876,2200,275,local,austin,calendar_weather_lagged_only,ridge,val,0.02,
25.667901050004343,43.811392023903984,46.23691753903974,2208,276,local,austin,calendar_weather_lagged_only,ridge,test,0.03,
15.956771016301735,29.111339603861936,35.7566634865706,2200,275,local,austin,calendar_weather_lagged_only,random_forest,val,7.31,
15.494776107627978,29.335111832369037,30.704901933059197,2208,276,local,austin,calendar_weather_lagged_only,random_forest,test,7.31,
15.711178678692704,28.704801423731496,31.619826266218677,2200,275,local,austin,calendar_weather_lagged_only,lgbm_point,val,2.22,
14.865166475457118,29.213376833553497,27.233589291822497,2208,276,local,austin,calendar_weather_lagged_only,lgbm_point,test,2.22,
105.76860853432281,188.8002548772577,85.34467540320014,1925,275,local,chicago,calendar_weather_lagged_only,naive_trailing7,val,0.0,
111.46058858325938,201.99423320382726,84.0762069834104,1932,276,local,chicago,calendar_weather_lagged_only,naive_trailing7,test,0.01,
70.68987012987013,188.11561242056342,55.50517528265202,1925,275,local,chicago,calendar_weather_lagged_only,seasonal_naive7,val,0.0,
84.23757763975155,198.97115415641383,49.110728372275986,1932,276,local,chicago,calendar_weather_lagged_only,seasonal_naive7,test,0.01,
63.59746119271648,144.11530788783736,48.63089031882466,1925,275,local,chicago,calendar_weather_lagged_only,ridge,val,0.02,
70.42980340498355,143.4178283467166,44.11184465083133,1932,276,local,chicago,calendar_weather_lagged_only,ridge,test,0.02,
49.2924904354019,126.73368952382653,43.17818733200623,1925,275,local,chicago,calendar_weather_lagged_only,random_forest,val,7.35,
53.9406960993838,124.1132644363195,38.17182861647242,1932,276,local,chicago,calendar_weather_lagged_only,random_forest,test,7.35,
47.99745676200644,125.8275578535122,30.87329892242206,1925,275,local,chicago,calendar_weather_lagged_only,lgbm_point,val,2.09,
50.388458421882575,123.14007429501254,27.76302599830095,1932,276,local,chicago,calendar_weather_lagged_only,lgbm_point,test,2.1,
245.53357142857143,461.6407075490844,27.237728728147943,2200,275,local,nyc,calendar_weather_lagged_only,naive_trailing7,val,0.0,
305.6182712215321,571.3918531972411,27.37934710999777,2208,276,local,nyc,calendar_weather_lagged_only,naive_trailing7,test,0.01,
226.67181818181817,494.43669417373803,26.362787181501464,2200,275,local,nyc,calendar_weather_lagged_only,seasonal_naive7,val,0.0,
282.4388586956522,644.0911805190813,25.246462590260744,2208,276,local,nyc,calendar_weather_lagged_only,seasonal_naive7,test,0.01,
171.3927388334387,367.7530353256471,19.839670556017467,2200,275,local,nyc,calendar_weather_lagged_only,ridge,val,0.02,
213.23231622430177,426.0580111471411,19.811010767182392,2208,276,local,nyc,calendar_weather_lagged_only,ridge,test,0.02,
160.02012736284576,356.9656623867601,17.544001251487376,2200,275,local,nyc,calendar_weather_lagged_only,random_forest,val,8.13,
193.15185182372392,418.48187199369823,16.914630320097285,2208,276,local,nyc,calendar_weather_lagged_only,random_forest,test,8.14,
150.3228666113593,346.4151993217495,15.258105777305678,2200,275,local,nyc,calendar_weather_lagged_only,lgbm_point,val,2.95,
178.6258606098037,413.4153353911372,14.415264809347454,2208,276,local,nyc,calendar_weather_lagged_only,lgbm_point,test,2.96,
42.45555265901981,92.11746887749817,34.97082200834225,2192,274,local,sf,calendar_weather_lagged_only,naive_trailing7,val,0.0,
44.76902597402597,97.8083661259611,75.40324061281484,2200,275,local,sf,calendar_weather_lagged_only,naive_trailing7,test,0.01,
37.60492700729927,87.9001590226342,34.06746419808784,2192,274,local,sf,calendar_weather_lagged_only,seasonal_naive7,val,0.0,
43.78636363636364,108.41276342168976,91.2024374709818,2200,275,local,sf,calendar_weather_lagged_only,seasonal_naive7,test,0.01,
32.82798686500266,71.66156153247454,103.31828535395388,2192,274,local,sf,calendar_weather_lagged_only,ridge,val,0.02,
36.667601996337076,83.14467566012304,157.33295339000804,2200,275,local,sf,calendar_weather_lagged_only,ridge,test,0.03,
32.11837392353834,73.39453570703947,29.674503135785415,2192,274,local,sf,calendar_weather_lagged_only,random_forest,val,7.26,
32.60993699232784,80.69784955617891,69.90057730515403,2200,275,local,sf,calendar_weather_lagged_only,random_forest,test,7.27,
30.172584020660516,70.35956988152726,24.312021305782107,2192,274,local,sf,calendar_weather_lagged_only,lgbm_point,val,2.74,
31.658883454075006,77.53151491530315,64.29636850707668,2200,275,local,sf,calendar_weather_lagged_only,lgbm_point,test,2.75,
30.280649350649348,49.978467719824316,52.458263892808624,2200,275,global,austin,internal,naive_trailing7,val,0.01,
30.371376811594203,50.156071302136,48.159494852497794,2208,276,global,austin,internal,naive_trailing7,test,0.02,
105.76860853432281,188.8002548772577,85.34467540320014,1925,275,global,chicago,internal,naive_trailing7,val,0.02,
111.46058858325938,201.99423320382726,84.0762069834104,1932,276,global,chicago,internal,naive_trailing7,test,0.03,
245.53357142857143,461.6407075490844,27.237728728147943,2200,275,global,nyc,internal,naive_trailing7,val,0.03,
305.6182712215321,571.3918531972411,27.37934710999777,2208,276,global,nyc,internal,naive_trailing7,test,0.03,
42.45555265901981,92.11746887749817,34.97082200834225,2192,274,global,sf,internal,naive_trailing7,val,0.04,
44.76902597402597,97.8083661259611,75.40324061281484,2200,275,global,sf,internal,naive_trailing7,test,0.05,
20.517272727272726,39.2618019315096,40.014678512769706,2200,275,global,austin,internal,seasonal_naive7,val,0.01,
21.61322463768116,42.77520656994481,38.985340929136555,2208,276,global,austin,internal,seasonal_naive7,test,0.02,
70.68987012987013,188.11561242056342,55.50517528265202,1925,275,global,chicago,internal,seasonal_naive7,val,0.02,
84.23757763975155,198.97115415641383,49.110728372275986,1932,276,global,chicago,internal,seasonal_naive7,test,0.03,
226.67181818181817,494.43669417373803,26.362787181501464,2200,275,global,nyc,internal,seasonal_naive7,val,0.03,
282.4388586956522,644.0911805190813,25.246462590260744,2208,276,global,nyc,internal,seasonal_naive7,test,0.03,
37.60492700729927,87.9001590226342,34.06746419808784,2192,274,global,sf,internal,seasonal_naive7,val,0.04,
43.78636363636364,108.41276342168976,91.2024374709818,2200,275,global,sf,internal,seasonal_naive7,test,0.04,
20.429721023120614,35.2155360668839,40.40274647098159,2200,275,global,austin,internal,ridge,val,0.07,
21.621042921000367,37.5877171266861,39.54852480424144,2208,276,global,austin,internal,ridge,test,0.08,
69.29886103573065,156.21555604045417,58.37137356152894,1925,275,global,chicago,internal,ridge,val,0.08,
75.86943348188332,154.0698291990703,53.18705400211129,1932,276,global,chicago,internal,ridge,test,0.08,
170.19548246930353,366.9355033873756,20.363729370256305,2200,275,global,nyc,internal,ridge,val,0.09,
215.48876680785796,431.37388949619213,20.426849300089533,2208,276,global,nyc,internal,ridge,test,0.09,
36.687854737532874,81.09953725604218,36.94339873114259,2192,274,global,sf,internal,ridge,val,0.1,
38.95158199236266,91.05097185143978,78.03862365688467,2200,275,global,sf,internal,ridge,test,0.1,
16.983981051905392,31.144422582825065,37.096279319922296,2200,275,global,austin,internal,random_forest,val,24.22,
17.004840333244356,32.35657696526742,33.580603091070174,2208,276,global,austin,internal,random_forest,test,24.23,
56.06246274987414,142.3209414724437,51.068864869865834,1925,275,global,chicago,internal,random_forest,val,24.23,
