city,regime,units,policy,config,total_loss,final_carryover,served_fraction_other,loss_share_other,served_fraction_by_family,pct_reduction_vs_uniform
austin,moderate,11,proportional,local/internal/naive_trailing7,10653056.0,67004.0,0.6912,0.218,"{""housing_building"": 0.5039, ""noise"": 0.6322, ""other"": 0.6912, ""parks_trees"": 0.675, ""public_safety"": 0.7711, ""sanitation"": 0.6946, ""streets_transport"": 0.7232, ""water_sewer"": 0.5892}",37.752
austin,moderate,11,greedy_ev_point,local/internal/naive_trailing7,11597151.0,74556.0,0.9989,0.0008,"{""housing_building"": 0.9895, ""noise"": 0.9998, ""other"": 0.9989, ""parks_trees"": 0.9948, ""public_safety"": 0.9992, ""sanitation"": 0.9984, ""streets_transport"": 0.0888, ""water_sewer"": 0.0}",32.235
austin,moderate,11,proportional,local/internal/seasonal_naive7,10655535.0,67013.0,0.6912,0.218,"{""housing_building"": 0.493, ""noise"": 0.6325, ""other"": 0.6912, ""parks_trees"": 0.675, ""public_safety"": 0.7711, ""sanitation"": 0.6946, ""streets_transport"": 0.7232, ""water_sewer"": 0.5954}",37.737
austin,moderate,11,greedy_ev_point,local/internal/seasonal_naive7,11228812.0,72052.0,0.9998,0.0008,"{""housing_building"": 0.9965, ""noise"": 0.9992, ""other"": 0.9998, ""parks_trees"": 0.9948, ""public_safety"": 0.9992, ""sanitation"": 0.9961, ""streets_transport"": 0.1226, ""water_sewer"": 0.0}",34.388
austin,moderate,11,proportional,local/internal/ridge,10651960.0,67000.0,0.6912,0.218,"{""housing_building"": 0.493, ""noise"": 0.6324, ""other"": 0.6912, ""parks_trees"": 0.675, ""public_safety"": 0.7711, ""sanitation"": 0.6956, ""streets_transport"": 0.7232, ""water_sewer"": 0.5892}",37.758
austin,moderate,11,greedy_ev_point,local/internal/ridge,11351146.0,72939.0,0.9998,0.0008,"{""housing_building"": 0.9965, ""noise"": 0.9984, ""other"": 0.9998, ""parks_trees"": 0.998, ""public_safety"": 0.9948, ""sanitation"": 0.9972, ""streets_transport"": 0.1107, ""water_sewer"": 0.0}",33.673
austin,moderate,11,proportional,local/internal/random_forest,10651410.0,66998.0,0.6912,0.2178,"{""housing_building"": 0.493, ""noise"": 0.6325, ""other"": 0.6912, ""parks_trees"": 0.675, ""public_safety"": 0.776, ""sanitation"": 0.6946, ""streets_transport"": 0.7232, ""water_sewer"": 0.5892}",37.762
austin,moderate,11,greedy_ev_point,local/internal/random_forest,10968827.0,70012.0,0.9998,0.0007,"{""housing_building"": 0.9954, ""noise"": 0.9976, ""other"": 0.9998, ""parks_trees"": 0.9924, ""public_safety"": 0.9992, ""sanitation"": 0.9992, ""streets_transport"": 0.1485, ""water_sewer"": 0.0}",35.907
austin,moderate,11,proportional,local/internal/lgbm_point,10651410.0,66998.0,0.6912,0.2178,"{""housing_building"": 0.493, ""noise"": 0.6325, ""other"": 0.6912, ""parks_trees"": 0.675, ""public_safety"": 0.7711, ""sanitation"": 0.6956, ""streets_transport"": 0.7232, ""water_sewer"": 0.5892}",37.762
austin,moderate,11,greedy_ev_point,local/internal/lgbm_point,10972838.0,69959.0,0.9998,0.0007,"{""housing_building"": 0.9936, ""noise"": 0.9992, ""other"": 0.9998, ""parks_trees"": 0.9959, ""public_safety"": 0.9963, ""sanitation"": 0.9977, ""streets_transport"": 0.1498, ""water_sewer"": 0.0}",35.883
austin,moderate,11,proportional,local/calendar/random_forest,10651410.0,66998.0,0.6912,0.2179,"{""housing_building"": 0.493, ""noise"": 0.6325, ""other"": 0.6912, ""parks_trees"": 0.675, ""public_safety"": 0.7711, ""sanitation"": 0.6946, ""streets_transport"": 0.7239, ""water_sewer"": 0.5892}",37.762
austin,moderate,11,greedy_ev_point,local/calendar/random_forest,10904231.0,69506.0,0.9998,0.0007,"{""housing_building"": 0.9954, ""noise"": 0.9976, ""other"": 0.9998, ""parks_trees"": 0.9961, ""public_safety"": 0.9992, ""sanitation"": 0.9988, ""streets_transport"": 0.1551, ""water_sewer"": 0.0}",36.284
austin,moderate,11,proportional,local/calendar/lgbm_point,10651410.0,66998.0,0.6912,0.218,"{""housing_building"": 0.493, ""noise"": 0.6325, ""other"": 0.6912, ""parks_trees"": 0.675, ""public_safety"": 0.7711, ""sanitation"": 0.6946, ""streets_transport"": 0.7239, ""water_sewer"": 0.5892}",37.762
austin,moderate,11,greedy_ev_point,local/calendar/lgbm_point,10840084.0,68815.0,0.9998,0.0007,"{""housing_building"": 0.9936, ""noise"": 0.9976, ""other"": 0.9998, ""parks_trees"": 0.9959, ""public_safety"": 0.9992, ""sanitation"": 0.9988, ""streets_transport"": 0.1644, ""water_sewer"": 0.0}",36.659
austin,moderate,11,proportional,local/calendar_weather/ridge,10656928.0,67018.0,0.6912,0.2179,"{""housing_building"": 0.493, ""noise"": 0.6324, ""other"": 0.6912, ""parks_trees"": 0.675, ""public_safety"": 0.7742, ""sanitation"": 0.6946, ""streets_transport"": 0.7232, ""water_sewer"": 0.5892}",37.729
austin,moderate,11,greedy_ev_point,local/calendar_weather/ridge,11438030.0,73109.0,0.9998,0.0007,"{""housing_building"": 0.9954, ""noise"": 0.9984, ""other"": 0.9998, ""parks_trees"": 0.9961, ""public_safety"": 0.9948, ""sanitation"": 0.9993, ""streets_transport"": 0.1074, ""water_sewer"": 0.0}",33.165
austin,moderate,11,proportional,local/calendar_weather/random_forest,10651410.0,66998.0,0.6912,0.2179,"{""housing_building"": 0.493, ""noise"": 0.6325, ""other"": 0.6912, ""parks_trees"": 0.675, ""public_safety"": 0.776, ""sanitation"": 0.6946, ""streets_transport"": 0.7232, ""water_sewer"": 0.5892}",37.762
austin,moderate,11,greedy_ev_point,local/calendar_weather/random_forest,10911662.0,69457.0,0.9998,0.0007,"{""housing_building"": 0.9954, ""noise"": 0.9976, ""other"": 0.9998, ""parks_trees"": 0.9959, ""public_safety"": 0.9992, ""sanitation"": 0.9988, ""streets_transport"": 0.1558, ""water_sewer"": 0.0}",36.241
austin,moderate,11,proportional,local/calendar_weather/lgbm_point,10651410.0,66998.0,0.6912,0.218,"{""housing_building"": 0.493, ""noise"": 0.6325, ""other"": 0.6912, ""parks_trees"": 0.675, ""public_safety"": 0.7711, ""sanitation"": 0.6946, ""streets_transport"": 0.7239, ""water_sewer"": 0.5892}",37.762
austin,moderate,11,greedy_ev_point,local/calendar_weather/lgbm_point,10857743.0,68916.0,0.9998,0.0007,"{""housing_building"": 0.9919, ""noise"": 0.9992, ""other"": 0.9998, ""parks_trees"": 0.9959, ""public_safety"": 0.9963, ""sanitation"": 0.9999, ""streets_transport"": 0.1624, ""water_sewer"": 0.0}",36.556
austin,moderate,11,proportional,global/calendar_weather/lgbm_point,10651410.0,66998.0,0.6912,0.2178,"{""housing_building"": 0.493, ""noise"": 0.6325, ""other"": 0.6912, ""parks_trees"": 0.675, ""public_safety"": 0.7711, ""sanitation"": 0.6946, ""streets_transport"": 0.7239, ""water_sewer"": 0.5892}",37.762
austin,moderate,11,greedy_ev_point,global/calendar_weather/lgbm_point,10885778.0,69241.0,0.9998,0.0007,"{""housing_building"": 0.9939, ""noise"": 0.9981, ""other"": 0.9998, ""parks_trees"": 0.9972, ""public_safety"": 0.9964, ""sanitation"": 0.9994, ""streets_transport"": 0.1584, ""water_sewer"": 0.0}",36.392
austin,moderate,11,greedy_ev_point,quantile/median_arm,10865973.0,68987.0,0.9998,0.0007,"{""housing_building"": 0.9919, ""noise"": 0.9992, ""other"": 0.9998, ""parks_trees"": 0.9961, ""public_safety"": 0.9963, ""sanitation"": 0.9994, ""streets_transport"": 0.1617, ""water_sewer"": 0.0}",36.508
austin,moderate,11,greedy_ev_point,quantile/implied_mean_arm,10920984.0,69568.0,0.9998,0.0007,"{""housing_building"": 0.9884, ""noise"": 0.9984, ""other"": 0.9998, ""parks_trees"": 0.9934, ""public_safety"": 0.9993, ""sanitation"": 0.9992, ""streets_transport"": 0.1545, ""water_sewer"": 0.0}",36.186
austin,moderate,11,greedy_ev_quantile,quantile/full_arm,10679297.0,67347.0,0.9991,0.0014,"{""housing_building"": 0.9969, ""noise"": 0.997, ""other"": 0.9991, ""parks_trees"": 0.9931, ""public_safety"": 0.9984, ""sanitation"": 0.9972, ""streets_transport"": 0.1856, ""water_sewer"": 0.0}",37.599
austin,generous,13,uniform,uniform,17099914.0,114472.0,0.5888,0.1704,"{""housing_building"": 1.0, ""noise"": 1.0, ""other"": 0.5888, ""parks_trees"": 1.0, ""public_safety"": 1.0, ""sanitation"": 0.2913, ""streets_transport"": 0.183, ""water_sewer"": 1.0}",0.0
austin,generous,13,hindsight_myopic_reference,hindsight_myopic_reference,6825498.0,39386.0,0.9994,0.001,"{""housing_building"": 0.9969, ""noise"": 0.9984, ""other"": 0.9994, ""parks_trees"": 0.9931, ""public_safety"": 0.9984, ""sanitation"": 0.9996, ""streets_transport"": 0.5542, ""water_sewer"": 0.0}",60.085
austin,generous,13,proportional,local/internal/naive_trailing7,6839549.0,39437.0,0.8277,0.195,"{""housing_building"": 0.6792, ""noise"": 0.7978, ""other"": 0.8277, ""parks_trees"": 0.7948, ""public_safety"": 0.8582, ""sanitation"": 0.8413, ""streets_transport"": 0.8193, ""water_sewer"": 0.7383}",60.002
austin,generous,13,greedy_ev_point,local/internal/naive_trailing7,8579398.0,51906.0,0.9989,0.0011,"{""housing_building"": 0.9895, ""noise"": 0.9998, ""other"": 0.9989, ""parks_trees"": 0.9948, ""public_safety"": 0.9992, ""sanitation"": 0.9994, ""streets_transport"": 0.3884, ""water_sewer"": 0.0}",49.828
austin,generous,13,proportional,local/internal/seasonal_naive7,6832935.0,39413.0,0.8266,0.1954,"{""housing_building"": 0.6902, ""noise"": 0.7958, ""other"": 0.8266, ""parks_trees"": 0.7948, ""public_safety"": 0.8551, ""sanitation"": 0.8413, ""streets_transport"": 0.82, ""water_sewer"": 0.7472}",60.041
austin,generous,13,greedy_ev_point,local/internal/seasonal_naive7,7601464.0,46102.0,0.9998,0.0011,"{""housing_building"": 0.9965, ""noise"": 0.9992, ""other"": 0.9998, ""parks_trees"": 0.9948, ""public_safety"": 0.9992, ""sanitation"": 0.9982, ""streets_transport"": 0.4653, ""water_sewer"": 0.0}",55.547
austin,generous,13,proportional,local/internal/ridge,6838453.0,39433.0,0.8277,0.195,"{""housing_building"": 0.6792, ""noise"": 0.798, ""other"": 0.8277, ""parks_trees"": 0.7948, ""public_safety"": 0.8582, ""sanitation"": 0.8402, ""streets_transport"": 0.8193, ""water_sewer"": 0.7472}",60.009
austin,generous,13,greedy_ev_point,local/internal/ridge,7945002.0,47942.0,0.9998,0.0011,"{""housing_building"": 0.9965, ""noise"": 0.9984, ""other"": 0.9998, ""parks_trees"": 0.998, ""public_safety"": 0.9948, ""sanitation"": 0.9992, ""streets_transport"": 0.4408, ""water_sewer"": 0.0}",53.538
austin,generous,13,proportional,local/internal/random_forest,6838453.0,39433.0,0.8277,0.1951,"{""housing_building"": 0.6902, ""noise"": 0.7957, ""other"": 0.8277, ""parks_trees"": 0.7948, ""public_safety"": 0.8582, ""sanitation"": 0.8413, ""streets_transport"": 0.8193, ""water_sewer"": 0.7383}",60.009
austin,generous,13,greedy_ev_point,local/internal/random_forest,7222243.0,43025.0,0.9998,0.0011,"{""housing_building"": 0.9954, ""noise"": 0.9976, ""other"": 0.9998, ""parks_trees"": 0.9924, ""public_safety"": 0.9992, ""sanitation"": 1.0, ""streets_transport"": 0.5058, ""water_sewer"": 0.0}",57.764
austin,generous,13,proportional,local/internal/lgbm_point,6838453.0,39433.0,0.8277,0.195,"{""housing_building"": 0.6902, ""noise"": 0.7957, ""other"": 0.8277, ""parks_trees"": 0.7948, ""public_safety"": 0.8582, ""sanitation"": 0.8413, ""streets_transport"": 0.8193, ""water_sewer"": 0.7383}",60.009
austin,generous,13,greedy_ev_point,local/internal/lgbm_point,7232352.0,42859.0,0.9998,0.0011,"{""housing_building"": 0.9936, ""noise"": 0.9992, ""other"": 0.9998, ""parks_trees"": 0.9959, ""public_safety"": 0.9963, ""sanitation"": 0.9999, ""streets_transport"": 0.5078, ""water_sewer"": 0.0}",57.705
austin,generous,13,proportional,local/calendar/random_forest,6838453.0,39433.0,0.8266,0.1954,"{""housing_building"": 0.6902, ""noise"": 0.7957, ""other"": 0.8266, ""parks_trees"": 0.7948, ""public_safety"": 0.8582, ""sanitation"": 0.8413, ""streets_transport"": 0.8193, ""water_sewer"": 0.7472}",60.009
austin,generous,13,greedy_ev_point,local/calendar/random_forest,7145438.0,42356.0,0.9998,0.0011,"{""housing_building"": 0.9954, ""noise"": 0.9976, ""other"": 0.9998, ""parks_trees"": 0.9961, ""public_safety"": 0.9992, ""sanitation"": 0.9999, ""streets_transport"": 0.5144, ""water_sewer"": 0.0}",58.214
austin,generous,13,proportional,local/calendar/lgbm_point,6838453.0,39433.0,0.8277,0.195,"{""housing_building"": 0.6792, ""noise"": 0.7957, ""other"": 0.8277, ""parks_trees"": 0.7948, ""public_safety"": 0.8582, ""sanitation"": 0.8413, ""streets_transport"": 0.8193, ""water_sewer"": 0.7472}",60.009
austin,generous,13,greedy_ev_point,local/calendar/lgbm_point,7045492.0,41377.0,0.9998,0.0011,"{""housing_building"": 0.9936, ""noise"": 0.9976, ""other"": 0.9998, ""parks_trees"": 0.9959, ""public_safety"": 0.9992, ""sanitation"": 0.9996, ""streets_transport"": 0.5277, ""water_sewer"": 0.0}",58.798
austin,generous,13,proportional,local/calendar_weather/ridge,6838453.0,39433.0,0.8277,0.195,"{""housing_building"": 0.6792, ""noise"": 0.798, ""other"": 0.8277, ""parks_trees"": 0.7948, ""public_safety"": 0.8582, ""sanitation"": 0.8402, ""streets_transport"": 0.8193, ""water_sewer"": 0.7472}",60.009
austin,generous,13,greedy_ev_point,local/calendar_weather/ridge,8023352.0,48174.0,0.9998,0.001,"{""housing_building"": 0.9954, ""noise"": 0.9984, ""other"": 0.9998, ""parks_trees"": 0.9961, ""public_safety"": 0.9948, ""sanitation"": 1.0, ""streets_transport"": 0.4375, ""water_sewer"": 0.0}",53.08
austin,generous,13,proportional,local/calendar_weather/random_forest,6838453.0,39433.0,0.8266,0.1953,"{""housing_building"": 0.6902, ""noise"": 0.7957, ""other"": 0.8266, ""parks_trees"": 0.7948, ""public_safety"": 0.8582, ""sanitation"": 0.8413, ""streets_transport"": 0.8193, ""water_sewer"": 0.7472}",60.009
austin,generous,13,greedy_ev_point,local/calendar_weather/random_forest,7155003.0,42357.0,0.9998,0.0011,"{""housing_building"": 0.9954, ""noise"": 0.9976, ""other"": 0.9998, ""parks_trees"": 0.9959, ""public_safety"": 0.9992, ""sanitation"": 0.9999, ""streets_transport"": 0.5144, ""water_sewer"": 0.0}",58.158
austin,generous,13,proportional,local/calendar_weather/lgbm_point,6838453.0,39433.0,0.8277,0.195,"{""housing_building"": 0.6792, ""noise"": 0.7957, ""other"": 0.8277, ""parks_trees"": 0.7948, ""public_safety"": 0.8582, ""sanitation"": 0.8413, ""streets_transport"": 0.8193, ""water_sewer"": 0.7472}",60.009
austin,generous,13,greedy_ev_point,local/calendar_weather/lgbm_point,7076314.0,41616.0,0.9998,0.0011,"{""housing_building"": 0.9919, ""noise"": 0.9992, ""other"": 0.9998, ""parks_trees"": 0.9959, ""public_safety"": 0.9963, ""sanitation"": 0.9999, ""streets_transport"": 0.5243, ""water_sewer"": 0.0}",58.618
austin,generous,13,proportional,global/calendar_weather/lgbm_point,6838453.0,39433.0,0.8277,0.195,"{""housing_building"": 0.6792, ""noise"": 0.7957, ""other"": 0.8277, ""parks_trees"": 0.7948, ""public_safety"": 0.8582, ""sanitation"": 0.8413, ""streets_transport"": 0.8193, ""water_sewer"": 0.7472}",60.009
austin,generous,13,greedy_ev_point,global/calendar_weather/lgbm_point,7097144.0,41970.0,0.9998,0.0011,"{""housing_building"": 0.9939, ""noise"": 0.9981, ""other"": 0.9998, ""parks_trees"": 0.9972, ""public_safety"": 0.9964, ""sanitation"": 0.9999, ""streets_transport"": 0.5197, ""water_sewer"": 0.0}",58.496
austin,generous,13,greedy_ev_point,quantile/median_arm,7097634.0,41766.0,0.9998,0.0011,"{""housing_building"": 0.9919, ""noise"": 0.9992, ""other"": 0.9998, ""parks_trees"": 0.9961, ""public_safety"": 0.9963, ""sanitation"": 0.9999, ""streets_transport"": 0.5224, ""water_sewer"": 0.0}",58.493
austin,generous,13,greedy_ev_point,quantile/implied_mean_arm,7145955.0,42381.0,0.9998,0.0011,"{""housing_building"": 0.9884, ""noise"": 0.9984, ""other"": 0.9998, ""parks_trees"": 0.9934, ""public_safety"": 0.9993, ""sanitation"": 1.0, ""streets_transport"": 0.5144, ""water_sewer"": 0.0}",58.211
