city,regime,units,policy,config,total_loss,pct_reduction_vs_uniform,final_carryover,served_fraction_other
austin,generous,13,greedy_ev_point,local/calendar_weather/lgbm_point,7076314.0,58.618,41616.0,1.0
austin,generous,13,proportional,global/calendar_weather/lgbm_point,6838453.0,60.009,39433.0,0.828
austin,generous,13,greedy_ev_point,global/calendar_weather/lgbm_point,7085533.0,58.564,41928.0,1.0
austin,generous,13,greedy_ev_point,quantile/median_arm,7097634.0,58.493,41766.0,1.0
austin,generous,13,greedy_ev_point,quantile/implied_mean_arm,7145955.0,58.211,42381.0,1.0
austin,generous,13,greedy_ev_quantile,quantile/full_arm,6856849.0,59.901,39747.0,0.999
chicago,scarce,29,uniform,uniform,47723755.0,0.0,302482.0,1.0
chicago,scarce,29,proportional,local/internal/naive_trailing7,37167651.0,22.119,209786.0,0.647
chicago,scarce,29,greedy_ev_point,local/internal/naive_trailing7,40791454.0,14.526,232792.0,0.999
chicago,scarce,29,proportional,local/internal/seasonal_naive7,37188351.0,22.076,209861.0,0.647
chicago,scarce,29,greedy_ev_point,local/internal/seasonal_naive7,40023117.0,16.136,226820.0,0.999
chicago,scarce,29,proportional,local/internal/ridge,37167651.0,22.119,209786.0,0.648
chicago,scarce,29,greedy_ev_point,local/internal/ridge,39391761.0,17.459,223417.0,0.999
chicago,scarce,29,proportional,local/internal/random_forest,37162683.0,22.13,209768.0,0.648
chicago,scarce,29,greedy_ev_point,local/internal/random_forest,38898862.0,18.492,220614.0,0.999
chicago,scarce,29,proportional,local/internal/lgbm_point,37162683.0,22.13,209768.0,0.648
chicago,scarce,29,greedy_ev_point,local/internal/lgbm_point,38500764.0,19.326,218325.0,0.999
chicago,scarce,29,proportional,local/calendar/random_forest,37162683.0,22.13,209768.0,0.648
chicago,scarce,29,greedy_ev_point,local/calendar/random_forest,38847868.0,18.598,219574.0,0.999
chicago,scarce,29,proportional,local/calendar/lgbm_point,37162683.0,22.13,209768.0,0.648
chicago,scarce,29,greedy_ev_point,local/calendar/lgbm_point,38061505.0,20.246,215111.0,0.999
chicago,scarce,29,proportional,local/calendar_weather/ridge,37167651.0,22.119,209786.0,0.647
chicago,scarce,29,greedy_ev_point,local/calendar_weather/ridge,39562560.0,17.101,223793.0,0.999
chicago,scarce,29,proportional,local/calendar_weather/random_forest,37162683.0,22.13,209768.0,0.648
chicago,scarce,29,greedy_ev_point,local/calendar_weather/random_forest,38802847.0,18.693,219424.0,0.999
chicago,scarce,29,proportional,local/calendar_weather/lgbm_point,37162683.0,22.13,209768.0,0.648
chicago,scarce,29,greedy_ev_point,local/calendar_weather/lgbm_point,38101878.0,20.162,215361.0,0.999
chicago,scarce,29,proportional,global/calendar_weather/lgbm_point,37167651.0,22.119,209786.0,0.648
chicago,scarce,29,greedy_ev_point,global/calendar_weather/lgbm_point,38231078.0,19.891,216086.0,0.999
chicago,scarce,29,greedy_ev_point,quantile/median_arm,38156350.0,20.047,215552.0,0.999
chicago,scarce,29,greedy_ev_point,quantile/implied_mean_arm,38487311.0,19.354,217579.0,0.999
chicago,scarce,29,greedy_ev_quantile,quantile/full_arm,37208413.0,22.034,210125.0,0.998
chicago,moderate,38,uniform,uniform,41456191.0,0.0,264751.0,1.0
chicago,moderate,38,proportional,local/internal/naive_trailing7,19965951.0,51.838,85586.0,0.862
chicago,moderate,38,greedy_ev_point,local/internal/naive_trailing7,25271855.0,39.04,124857.0,0.999
chicago,moderate,38,proportional,local/internal/seasonal_naive7,20028051.0,51.689,85811.0,0.862
chicago,moderate,38,greedy_ev_point,local/internal/seasonal_naive7,23976512.0,42.164,113818.0,0.999
chicago,moderate,38,proportional,local/internal/ridge,19972851.0,51.822,85611.0,0.862
chicago,moderate,38,greedy_ev_point,local/internal/ridge,23073056.0,44.344,108815.0,0.999
chicago,moderate,38,proportional,local/internal/random_forest,19965951.0,51.838,85586.0,0.862
chicago,moderate,38,greedy_ev_point,local/internal/random_forest,22333771.0,46.127,104612.0,0.999
chicago,moderate,38,proportional,local/internal/lgbm_point,19965951.0,51.838,85586.0,0.861
chicago,moderate,38,greedy_ev_point,local/internal/lgbm_point,21848507.0,47.297,101623.0,0.999
chicago,moderate,38,proportional,local/calendar/random_forest,19965951.0,51.838,85586.0,0.862
chicago,moderate,38,greedy_ev_point,local/calendar/random_forest,22166476.0,46.53,102022.0,0.999
chicago,moderate,38,proportional,local/calendar/lgbm_point,19960983.0,51.85,85568.0,0.862
chicago,moderate,38,greedy_ev_point,local/calendar/lgbm_point,21303438.0,48.612,96109.0,0.999
chicago,moderate,38,proportional,local/calendar_weather/ridge,19972851.0,51.822,85611.0,0.862
chicago,moderate,38,greedy_ev_point,local/calendar_weather/ridge,23141765.0,44.178,107891.0,0.999
chicago,moderate,38,proportional,local/calendar_weather/random_forest,19965951.0,51.838,85586.0,0.862
chicago,moderate,38,greedy_ev_point,local/calendar_weather/random_forest,22108854.0,46.669,101572.0,0.999
chicago,moderate,38,proportional,local/calendar_weather/lgbm_point,19965951.0,51.838,85586.0,0.862
chicago,moderate,38,greedy_ev_point,local/calendar_weather/lgbm_point,21402749.0,48.373,96159.0,0.999
chicago,moderate,38,proportional,global/calendar_weather/lgbm_point,19965951.0,51.838,85586.0,0.862
chicago,moderate,38,greedy_ev_point,global/calendar_weather/lgbm_point,21338568.0,48.527,96034.0,0.999
chicago,moderate,38,greedy_ev_point,quantile/median_arm,21436989.0,48.29,96300.0,0.999
chicago,moderate,38,greedy_ev_point,quantile/implied_mean_arm,21765124.0,47.498,98877.0,0.999
chicago,moderate,38,greedy_ev_quantile,quantile/full_arm,20087932.0,51.544,86705.0,0.998
chicago,generous,46,uniform,uniform,37425429.0,0.0,237057.0,1.0
chicago,generous,46,proportional,local/internal/naive_trailing7,5470778.0,85.382,1174.0,0.998
chicago,generous,46,greedy_ev_point,local/internal/naive_trailing7,12561514.0,66.436,28897.0,0.999
chicago,generous,46,proportional,local/internal/seasonal_naive7,5519702.0,85.251,1037.0,0.998
chicago,generous,46,greedy_ev_point,local/internal/seasonal_naive7,9946810.0,73.422,11659.0,0.999
chicago,generous,46,proportional,local/internal/ridge,5466510.0,85.394,1063.0,0.998
chicago,generous,46,greedy_ev_point,local/internal/ridge,8752957.0,76.612,6272.0,0.999
chicago,generous,46,proportional,local/internal/random_forest,5457285.0,85.418,1124.0,0.998
chicago,generous,46,greedy_ev_point,local/internal/random_forest,7864104.0,78.987,1206.0,0.999
chicago,generous,46,proportional,local/internal/lgbm_point,5453029.0,85.43,1013.0,0.998
chicago,generous,46,greedy_ev_point,local/internal/lgbm_point,7321635.0,80.437,1223.0,0.999
chicago,generous,46,proportional,local/calendar/random_forest,5452609.0,85.431,1124.0,0.998
chicago,generous,46,greedy_ev_point,local/calendar/random_forest,7691500.0,79.448,1177.0,0.999
chicago,generous,46,proportional,local/calendar/lgbm_point,5452021.0,85.432,974.0,0.998
chicago,generous,46,greedy_ev_point,local/calendar/lgbm_point,6884001.0,81.606,1136.0,0.999
chicago,generous,46,proportional,local/calendar_weather/ridge,5485426.0,85.343,1185.0,0.998
chicago,generous,46,greedy_ev_point,local/calendar_weather/ridge,8988386.0,75.983,5386.0,0.999
chicago,generous,46,proportional,local/calendar_weather/random_forest,5452451.0,85.431,1074.0,0.998
chicago,generous,46,greedy_ev_point,local/calendar_weather/random_forest,7653496.0,79.55,1177.0,0.999
chicago,generous,46,proportional,local/calendar_weather/lgbm_point,5451379.0,85.434,1002.0,0.998
chicago,generous,46,greedy_ev_point,local/calendar_weather/lgbm_point,6920807.0,81.508,1121.0,0.999
chicago,generous,46,proportional,global/calendar_weather/lgbm_point,5452709.0,85.43,1063.0,0.998
chicago,generous,46,greedy_ev_point,global/calendar_weather/lgbm_point,6931828.0,81.478,1273.0,0.999
chicago,generous,46,greedy_ev_point,quantile/median_arm,6917110.0,81.518,1071.0,0.999
chicago,generous,46,greedy_ev_point,quantile/implied_mean_arm,7230677.0,80.68,1071.0,0.999
chicago,generous,46,greedy_ev_quantile,quantile/full_arm,5561653.0,85.139,991.0,0.998
nyc,scarce,119,uniform,uniform,190188344.0,0.0,1472303.0,1.0
nyc,scarce,119,proportional,local/internal/naive_trailing7,146024681.0,23.221,1103316.0,0.644
nyc,scarce,119,greedy_ev_point,local/internal/naive_trailing7,169379557.0,10.941,1266503.0,0.771
nyc,scarce,119,proportional,local/internal/seasonal_naive7,146024681.0,23.221,1103316.0,0.644
nyc,scarce,119,greedy_ev_point,local/internal/seasonal_naive7,162055000.0,14.792,1239573.0,0.754
nyc,scarce,119,proportional,local/internal/ridge,146024681.0,23.221,1103316.0,0.644
nyc,scarce,119,greedy_ev_point,local/internal/ridge,160498122.0,15.611,1205415.0,0.812
nyc,scarce,119,proportional,local/internal/random_forest,146024681.0,23.221,1103316.0,0.644
nyc,scarce,119,greedy_ev_point,local/internal/random_forest,160239187.0,15.747,1205758.0,0.813
nyc,scarce,119,proportional,local/internal/lgbm_point,146024681.0,23.221,1103316.0,0.644
nyc,scarce,119,greedy_ev_point,local/internal/lgbm_point,157829371.0,17.014,1189654.0,0.817
nyc,scarce,119,proportional,local/calendar/random_forest,146024681.0,23.221,1103316.0,0.644
nyc,scarce,119,greedy_ev_point,local/calendar/random_forest,159219381.0,16.283,1196867.0,0.815
nyc,scarce,119,proportional,local/calendar/lgbm_point,146024681.0,23.221,1103316.0,0.644
nyc,scarce,119,greedy_ev_point,local/calendar/lgbm_point,156019146.0,17.966,1173479.0,0.838
nyc,scarce,119,proportional,local/calendar_weather/ridge,146024681.0,23.221,1103316.0,0.644
nyc,scarce,119,greedy_ev_point,local/calendar_weather/ridge,161024401.0,15.334,1207294.0,0.815
nyc,scarce,119,proportional,local/calendar_weather/random_forest,146024681.0,23.221,1103316.0,0.644
nyc,scarce,119,greedy_ev_point,local/calendar_weather/random_forest,159107532.0,16.342,1192941.0,0.827
nyc,scarce,119,proportional,local/calendar_weather/lgbm_point,146024681.0,23.221,1103316.0,0.645
nyc,scarce,119,greedy_ev_point,local/calendar_weather/lgbm_point,154437576.0,18.798,1162991.0,0.854
nyc,scarce,119,proportional,global/calendar_weather/lgbm_point,146024681.0,23.221,1103316.0,0.644
nyc,scarce,119,greedy_ev_point,global/calendar_weather/lgbm_point,154608416.0,18.708,1164057.0,0.85
nyc,scarce,119,greedy_ev_point,quantile/median_arm,155038277.0,18.482,1168685.0,0.844
nyc,scarce,119,greedy_ev_point,quantile/implied_mean_arm,156441739.0,17.744,1176583.0,0.84
nyc,scarce,119,greedy_ev_quantile,quantile/full_arm,146938634.0,22.74,1109869.0,0.868
nyc,moderate,153,uniform,uniform,159106556.0,0.0,1262227.0,1.0
nyc,moderate,153,proportional,local/internal/naive_trailing7,81079121.0,49.041,634256.0,0.812
nyc,moderate,153,greedy_ev_point,local/internal/naive_trailing7,110547787.0,30.52,850185.0,0.999
nyc,moderate,153,proportional,local/internal/seasonal_naive7,81092921.0,49.032,634306.0,0.812
