city,regime,units,policy,total_loss,pct_vs_uniform,pct_vs_proportional
austin,generous,13,point_greedy/proportional_unmet,6825498.0,60.08,0.19
austin,generous,13,point_greedy/largest_carryover,6826602.0,60.08,0.17
austin,generous,13,point_greedy/largest_forecast,7181185.0,58.0,-5.01
austin,generous,13,point_greedy/smallest_alloc,6908713.0,59.6,-1.03
austin,generous,13,point_greedy_smoothed/fixed_index,6862155.0,59.87,-0.35
austin,generous,13,median_arm/fixed_index,7097634.0,58.49,-3.79
austin,generous,13,median_arm/proportional_unmet,6825498.0,60.08,0.19
austin,generous,13,implied_mean_arm/fixed_index,7145955.0,58.21,-4.5
austin,generous,13,implied_mean_arm/proportional_unmet,6825498.0,60.08,0.19
chicago,scarce,29,uniform,47723755.0,0.0,-28.42
chicago,scarce,29,proportional,37162683.0,22.13,0.0
chicago,scarce,29,quantile_full,37208413.0,22.03,-0.12
chicago,scarce,29,point_greedy/fixed_index,38101878.0,20.16,-2.53
chicago,scarce,29,point_greedy/random_mean,37489711.1,21.44,-0.88
chicago,scarce,29,point_greedy/random_min,37415038.0,21.6,-0.68
chicago,scarce,29,point_greedy/random_max,37541000.0,21.34,-1.02
chicago,scarce,29,point_greedy/proportional_unmet,37162683.0,22.13,0.0
chicago,scarce,29,point_greedy/largest_carryover,37162683.0,22.13,0.0
chicago,scarce,29,point_greedy/largest_forecast,38191667.0,19.97,-2.77
chicago,scarce,29,point_greedy/smallest_alloc,37527036.0,21.37,-0.98
chicago,scarce,29,point_greedy_smoothed/fixed_index,37445548.0,21.54,-0.76
chicago,scarce,29,median_arm/fixed_index,38156350.0,20.05,-2.67
chicago,scarce,29,median_arm/proportional_unmet,37162683.0,22.13,0.0
chicago,scarce,29,implied_mean_arm/fixed_index,38487311.0,19.35,-3.56
chicago,scarce,29,implied_mean_arm/proportional_unmet,37162683.0,22.13,0.0
chicago,moderate,38,uniform,41456191.0,0.0,-107.63
chicago,moderate,38,proportional,19965951.0,51.84,0.0
chicago,moderate,38,quantile_full,20087932.0,51.54,-0.61
chicago,moderate,38,point_greedy/fixed_index,21402749.0,48.37,-7.2
chicago,moderate,38,point_greedy/random_mean,20640239.4,50.21,-3.38
chicago,moderate,38,point_greedy/random_min,20580566.0,50.36,-3.08
chicago,moderate,38,point_greedy/random_max,20730038.0,50.0,-3.83
chicago,moderate,38,point_greedy/proportional_unmet,19960983.0,51.85,0.02
chicago,moderate,38,point_greedy/largest_carryover,19998502.0,51.76,-0.16
chicago,moderate,38,point_greedy/largest_forecast,21433015.0,48.3,-7.35
chicago,moderate,38,point_greedy/smallest_alloc,20722241.0,50.01,-3.79
chicago,moderate,38,point_greedy_smoothed/fixed_index,20473993.0,50.61,-2.54
chicago,moderate,38,median_arm/fixed_index,21436989.0,48.29,-7.37
chicago,moderate,38,median_arm/proportional_unmet,19960983.0,51.85,0.02
chicago,moderate,38,implied_mean_arm/fixed_index,21765124.0,47.5,-9.01
chicago,moderate,38,implied_mean_arm/proportional_unmet,19960983.0,51.85,0.02
chicago,generous,46,uniform,37425429.0,0.0,-586.53
chicago,generous,46,proportional,5451379.0,85.43,0.0
chicago,generous,46,quantile_full,5561653.0,85.14,-2.02
chicago,generous,46,point_greedy/fixed_index,6920807.0,81.51,-26.96
chicago,generous,46,point_greedy/random_mean,6158753.25,83.54,-12.98
chicago,generous,46,point_greedy/random_min,6105244.0,83.69,-11.99
chicago,generous,46,point_greedy/random_max,6255271.0,83.29,-14.75
chicago,generous,46,point_greedy/proportional_unmet,5447834.0,85.44,0.06
chicago,generous,46,point_greedy/largest_carryover,5538424.0,85.2,-1.6
chicago,generous,46,point_greedy/largest_forecast,6788499.0,81.86,-24.53
chicago,generous,46,point_greedy/smallest_alloc,6215978.0,83.39,-14.03
chicago,generous,46,point_greedy_smoothed/fixed_index,5947223.0,84.11,-9.1
chicago,generous,46,median_arm/fixed_index,6917110.0,81.52,-26.89
chicago,generous,46,median_arm/proportional_unmet,5447929.0,85.44,0.06
chicago,generous,46,implied_mean_arm/fixed_index,7230677.0,80.68,-32.64
chicago,generous,46,implied_mean_arm/proportional_unmet,5447868.0,85.44,0.06
nyc,scarce,119,uniform,190188344.0,0.0,-30.24
nyc,scarce,119,proportional,146024681.0,23.22,0.0
nyc,scarce,119,quantile_full,146938634.0,22.74,-0.63
nyc,scarce,119,point_greedy/fixed_index,154437576.0,18.8,-5.76
nyc,scarce,119,point_greedy/random_mean,147729935.8,22.32,-1.17
nyc,scarce,119,point_greedy/random_min,147612693.0,22.39,-1.09
nyc,scarce,119,point_greedy/random_max,147866545.0,22.25,-1.26
nyc,scarce,119,point_greedy/proportional_unmet,146024681.0,23.22,0.0
nyc,scarce,119,point_greedy/largest_carryover,146124041.0,23.17,-0.07
nyc,scarce,119,point_greedy/largest_forecast,148874204.0,21.72,-1.95
nyc,scarce,119,point_greedy/smallest_alloc,147818497.0,22.28,-1.23
nyc,scarce,119,point_greedy_smoothed/fixed_index,150834748.0,20.69,-3.29
nyc,scarce,119,median_arm/fixed_index,155038277.0,18.48,-6.17
nyc,scarce,119,median_arm/proportional_unmet,146024681.0,23.22,0.0
nyc,scarce,119,implied_mean_arm/fixed_index,156441739.0,17.74,-7.13
nyc,scarce,119,implied_mean_arm/proportional_unmet,146024681.0,23.22,0.0
nyc,moderate,153,uniform,159106556.0,0.0,-96.33
nyc,moderate,153,proportional,81040481.0,49.06,0.0
nyc,moderate,153,quantile_full,82149267.0,48.37,-1.37
nyc,moderate,153,point_greedy/fixed_index,91571785.0,42.45,-13.0
nyc,moderate,153,point_greedy/random_mean,83961015.85,47.23,-3.6
nyc,moderate,153,point_greedy/random_min,83862442.0,47.29,-3.48
nyc,moderate,153,point_greedy/random_max,84063599.0,47.16,-3.73
nyc,moderate,153,point_greedy/proportional_unmet,81065321.0,49.05,-0.03
nyc,moderate,153,point_greedy/largest_carryover,81423690.0,48.82,-0.47
nyc,moderate,153,point_greedy/largest_forecast,89728705.0,43.6,-10.72
nyc,moderate,153,point_greedy/smallest_alloc,83982560.0,47.22,-3.63
nyc,moderate,153,point_greedy_smoothed/fixed_index,86874620.0,45.4,-7.2
nyc,moderate,153,median_arm/fixed_index,92286377.0,42.0,-13.88
nyc,moderate,153,median_arm/proportional_unmet,81051521.0,49.06,-0.01
nyc,moderate,153,implied_mean_arm/fixed_index,93992212.0,40.92,-15.98
nyc,moderate,153,implied_mean_arm/proportional_unmet,81051521.0,49.06,-0.01
nyc,generous,187,uniform,133717691.0,0.0,-659.37
nyc,generous,187,proportional,17608997.0,86.83,0.0
nyc,generous,187,quantile_full,18748666.0,85.98,-6.47
nyc,generous,187,point_greedy/fixed_index,27875499.0,79.15,-58.3
nyc,generous,187,point_greedy/random_mean,21642749.5,83.82,-22.91
nyc,generous,187,point_greedy/random_min,21488832.0,83.93,-22.03
nyc,generous,187,point_greedy/random_max,21857103.0,83.65,-24.12
nyc,generous,187,point_greedy/proportional_unmet,17607812.0,86.83,0.01
nyc,generous,187,point_greedy/largest_carryover,18611620.0,86.08,-5.69
nyc,generous,187,point_greedy/largest_forecast,28125706.0,78.97,-59.72
nyc,generous,187,point_greedy/smallest_alloc,21791520.0,83.7,-23.75
nyc,generous,187,point_greedy_smoothed/fixed_index,23440409.0,82.47,-33.12
nyc,generous,187,median_arm/fixed_index,28593828.0,78.62,-62.38
nyc,generous,187,median_arm/proportional_unmet,17594082.0,86.84,0.08
nyc,generous,187,implied_mean_arm/fixed_index,30175303.0,77.43,-71.36
nyc,generous,187,implied_mean_arm/proportional_unmet,17663402.0,86.79,-0.31
sf,scarce,26,uniform,57455738.0,0.0,-94.82
sf,scarce,26,proportional,29492447.0,48.67,0.0
sf,scarce,26,quantile_full,29644860.0,48.4,-0.52
sf,scarce,26,point_greedy/fixed_index,30255010.0,47.34,-2.59
sf,scarce,26,point_greedy/random_mean,29899127.6,47.96,-1.38
sf,scarce,26,point_greedy/random_min,29853862.0,48.04,-1.23
sf,scarce,26,point_greedy/random_max,29982522.0,47.82,-1.66
sf,scarce,26,point_greedy/proportional_unmet,29485573.0,48.68,0.02
sf,scarce,26,point_greedy/largest_carryover,29485573.0,48.68,0.02
sf,scarce,26,point_greedy/largest_forecast,29672901.0,48.36,-0.61
sf,scarce,26,point_greedy/smallest_alloc,29990438.0,47.8,-1.69
sf,scarce,26,point_greedy_smoothed/fixed_index,29743545.0,48.23,-0.85
sf,scarce,26,median_arm/fixed_index,30337378.0,47.2,-2.86
sf,scarce,26,median_arm/proportional_unmet,29485573.0,48.68,0.02
sf,scarce,26,implied_mean_arm/fixed_index,30375874.0,47.13,-3.0
sf,scarce,26,implied_mean_arm/proportional_unmet,29485573.0,48.68,0.02
sf,moderate,33,uniform,53355269.0,0.0,-229.05
sf,moderate,33,proportional,16214879.0,69.61,0.0
sf,moderate,33,quantile_full,16362360.0,69.33,-0.91
sf,moderate,33,point_greedy/fixed_index,16972510.0,68.19,-4.67
sf,moderate,33,point_greedy/random_mean,16896598.05,68.33,-4.2
sf,moderate,33,point_greedy/random_min,16811354.0,68.49,-3.68
sf,moderate,33,point_greedy/random_max,16939251.0,68.25,-4.47
sf,moderate,33,point_greedy/proportional_unmet,16203073.0,69.63,0.07
sf,moderate,33,point_greedy/largest_carryover,16210733.0,69.62,0.03
sf,moderate,33,point_greedy/largest_forecast,17235704.0,67.7,-6.3
sf,moderate,33,point_greedy/smallest_alloc,16949816.0,68.23,-4.53
sf,moderate,33,point_greedy_smoothed/fixed_index,16461045.0,69.15,-1.52
sf,moderate,33,median_arm/fixed_index,17054878.0,68.04,-5.18
sf,moderate,33,median_arm/proportional_unmet,16203073.0,69.63,0.07
sf,moderate,33,implied_mean_arm/fixed_index,17093374.0,67.96,-5.42
sf,moderate,33,implied_mean_arm/proportional_unmet,16203073.0,69.63,0.07
sf,generous,41,uniform,49559250.0,0.0,-1231.17
sf,generous,41,proportional,3722991.0,92.49,0.0
sf,generous,41,quantile_full,3693238.0,92.55,0.8
sf,generous,41,point_greedy/fixed_index,3952068.0,92.03,-6.15
sf,generous,41,point_greedy/random_mean,3958368.3,92.01,-6.32
sf,generous,41,point_greedy/random_min,3951529.0,92.03,-6.14
sf,generous,41,point_greedy/random_max,3959924.0,92.01,-6.36
sf,generous,41,point_greedy/proportional_unmet,3693584.0,92.55,0.79
sf,generous,41,point_greedy/largest_carryover,3765538.0,92.4,-1.14
sf,generous,41,point_greedy/largest_forecast,4232822.0,91.46,-13.69
sf,generous,41,point_greedy/smallest_alloc,3960570.0,92.01,-6.38
sf,generous,41,point_greedy_smoothed/fixed_index,3743385.0,92.45,-0.55
sf,generous,41,median_arm/fixed_index,3959845.0,92.01,-6.36
sf,generous,41,median_arm/proportional_unmet,3693095.0,92.55,0.8
sf,generous,41,implied_mean_arm/fixed_index,3959463.0,92.01,-6.35
sf,generous,41,implied_mean_arm/proportional_unmet,3690519.0,92.55,0.87
