city,regime,policy,config,unmet_weighted,red_vs_uniform_pct,oracle_gap_closed_pct
sf,generous,greedy_ev_point,local/calendar_weather/random_forest,417872.0,99.543,99.751
sf,generous,proportional,local/calendar_weather/lgbm_point,323130.0,99.647,99.854
sf,generous,greedy_ev_point,local/calendar_weather/lgbm_point,362220.0,99.604,99.812
sf,generous,proportional,global/calendar_weather/lgbm_point,317578.0,99.653,99.861
sf,generous,greedy_ev_point,global/calendar_weather/lgbm_point,342031.0,99.626,99.834
sf,moderate,greedy_ev_quantile,local/calendar_weather/lgbm_quantile,8214460.0,91.713,99.195
sf,moderate,proportional,local/internal/naive_trailing7,11301356.0,88.598,95.826
sf,moderate,greedy_ev_point,local/internal/naive_trailing7,10392097.0,89.516,96.818
sf,moderate,proportional,local/internal/seasonal_naive7,11357439.0,88.542,95.765
sf,moderate,greedy_ev_point,local/internal/seasonal_naive7,9464165.0,90.452,97.831
sf,moderate,proportional,local/internal/ridge,11303929.0,88.596,95.823
sf,moderate,greedy_ev_point,local/internal/ridge,9121644.0,90.797,98.205
sf,moderate,proportional,local/internal/random_forest,11313625.0,88.586,95.813
sf,moderate,greedy_ev_point,local/internal/random_forest,9202267.0,90.716,98.117
sf,moderate,proportional,local/internal/lgbm_point,11327049.0,88.572,95.798
sf,moderate,greedy_ev_point,local/internal/lgbm_point,8943409.0,90.977,98.399
sf,moderate,proportional,local/calendar/random_forest,11305387.0,88.594,95.822
sf,moderate,greedy_ev_point,local/calendar/random_forest,9126133.0,90.793,98.2
sf,moderate,proportional,local/calendar/lgbm_point,11318083.0,88.581,95.808
sf,moderate,greedy_ev_point,local/calendar/lgbm_point,8644565.0,91.279,98.725
sf,moderate,proportional,local/calendar_weather/ridge,11362639.0,88.536,95.759
sf,moderate,greedy_ev_point,local/calendar_weather/ridge,9313421.0,90.604,97.995
sf,moderate,proportional,local/calendar_weather/random_forest,11306993.0,88.593,95.82
sf,moderate,greedy_ev_point,local/calendar_weather/random_forest,9094634.0,90.825,98.234
sf,moderate,proportional,local/calendar_weather/lgbm_point,11298355.0,88.601,95.829
sf,moderate,greedy_ev_point,local/calendar_weather/lgbm_point,8605672.0,91.318,98.768
sf,moderate,proportional,global/calendar_weather/lgbm_point,11288704.0,88.611,95.84
sf,moderate,greedy_ev_point,global/calendar_weather/lgbm_point,8389886.0,91.536,99.003
sf,scarce,greedy_ev_quantile,local/calendar_weather/lgbm_quantile,35503757.0,67.872,99.78
sf,scarce,proportional,local/internal/naive_trailing7,41824177.0,62.152,91.371
sf,scarce,greedy_ev_point,local/internal/naive_trailing7,38666204.0,65.01,95.573
sf,scarce,proportional,local/internal/seasonal_naive7,41839079.0,62.139,91.352
sf,scarce,greedy_ev_point,local/internal/seasonal_naive7,38061563.0,65.557,96.377
sf,scarce,proportional,local/internal/ridge,41831901.0,62.145,91.361
sf,scarce,greedy_ev_point,local/internal/ridge,37341167.0,66.209,97.335
sf,scarce,proportional,local/internal/random_forest,41813571.0,62.162,91.386
sf,scarce,greedy_ev_point,local/internal/random_forest,36942086.0,66.57,97.866
sf,scarce,proportional,local/internal/lgbm_point,41811663.0,62.163,91.388
sf,scarce,greedy_ev_point,local/internal/lgbm_point,36836946.0,66.665,98.006
sf,scarce,proportional,local/calendar/random_forest,41813971.0,62.161,91.385
sf,scarce,greedy_ev_point,local/calendar/random_forest,36890806.0,66.616,97.935
sf,scarce,proportional,local/calendar/lgbm_point,41813447.0,62.162,91.386
sf,scarce,greedy_ev_point,local/calendar/lgbm_point,36725276.0,66.766,98.155
sf,scarce,proportional,local/calendar_weather/ridge,41842908.0,62.135,91.347
sf,scarce,greedy_ev_point,local/calendar_weather/ridge,37745528.0,65.843,96.798
sf,scarce,proportional,local/calendar_weather/random_forest,41814047.0,62.161,91.385
sf,scarce,greedy_ev_point,local/calendar_weather/random_forest,36782609.0,66.714,98.079
sf,scarce,proportional,local/calendar_weather/lgbm_point,41811097.0,62.164,91.389
sf,scarce,greedy_ev_point,local/calendar_weather/lgbm_point,36720406.0,66.771,98.161
sf,scarce,proportional,global/calendar_weather/lgbm_point,41839954.0,62.138,91.35
sf,scarce,greedy_ev_point,global/calendar_weather/lgbm_point,36453334.0,67.012,98.517
